AIRO_ID,Roll_No,Off_Name,Add_1,Add_2,Add_3,Add_4,County,Ethos,Island,DEIS,Gaeltacht,M_13_14,F_13_14,T_13_14,xcoord,ycoord,Long,Lat
820,17881G,SCOIL UI CHONAILL,NTH RICHMOND STREET,DUBLIN 1,101,,Dublin,CATHOLIC,N,Y,N,167,0,167,316484,235643,-6.25023,53.3582
821,17891J,SCOIL MHUIRE,MOUNT SACKVILLE CONVENT,CHAPELIZOD,DUBLIN 20,120,Dublin,CATHOLIC,N,N,N,0,248,248,309312,235681,-6.3579,53.36
822,17893N,SANCTA MARIA C B S,SYNGE ST,DUBLIN 8,108,,Dublin,CATHOLIC,N,Y,N,81,0,81,315483,232829,-6.26628,53.3331
823,17912O,S N EOIN BOSCO BUACH,NAVAN ROAD,DUBLIN 7,107,,Dublin,CATHOLIC,N,N,N,361,0,361,312271,236597,-6.31314,53.3676
824,17936F,S N EOIN BAISDE B SIN,SEAFIELD RD,CLONTARF,DUBLIN 3,103,Dublin,CATHOLIC,N,N,N,326,0,326,319915,236331,-6.19845,53.3636
825,17976R,SCOIL ASSAIM B,RAHENY,DUBLIN 5,105,,Dublin,CATHOLIC,N,N,N,272,0,272,321376,238002,-6.17587,53.3783
826,17977T,SCOIL AINE C,RAHENY,DUBLIN 5,105,,Dublin,CATHOLIC,N,N,N,0,319,319,321340,237986,-6.17642,53.3781
827,17978V,NAISCOIL IDE,ALL SAINTS DRIVE,RAHENY,DUBLIN 5,105,Dublin,CATHOLIC,N,N,N,163,231,394,321280,237936,-6.17734,53.3777
828,18137D,S N NAOMH FEARGAL,FINGLAS WEST,DUBLIN 11,,,Dublin,CATHOLIC,N,Y,N,105,0,105,312705,238805,-6.30584,53.3874
829,18170B,SN MUIRE NA FREASTOGALA,SIURACHA NA CARTHANACHR,BAILE UAILCIN,BAILE ATHA CLIATH 12,,Dublin,CATHOLIC,N,N,N,0,190,190,311189,231564,-6.33116,53.3227
830,18171D,OUR LADY ASSUMPTION BNS,SIURACHA NA CARTHANACHA,BAILE UAILCIN,BAILE ATHA CLIATH 12,,Dublin,CATHOLIC,N,N,N,236,0,236,311176,231600,-6.33134,53.323
831,18205R,S N AN PHAROISTE,FINGLAS,DUBLIN 11,,,Dublin,CHURCH OF IRELAND,N,N,N,32,33,65,312922,238893,-6.30255,53.3881
832,18282M,SN PAROISTE MAITIU NFA,CRANFIELD PLACE,SANDYMOUNT,DUBLIN 4,,Dublin,CHURCH OF IRELAND,N,N,N,106,101,207,318542,233348,-6.22019,53.3371
833,18360G,SCOIL BHREANDAIN,COOLOCK,DUBLIN 5,,,Dublin,CATHOLIC,N,Y,N,159,0,159,320073,238615,-6.19521,53.3841
834,18361I,S N CAITRIONA C,COOLOCK,DUBLIN 5,,,Dublin,CATHOLIC,N,Y,N,0,184,184,319941,238691,-6.19717,53.3848
835,18362K,S N CAITRIONA NAIONAIN,COOLOCK,DUBLIN 5,,,Dublin,CATHOLIC,N,Y,N,94,129,223,319972,238709,-6.1967,53.3849
836,18386B,MARIST NATIONAL SCHOOL,CLOGHER ROAD,CRUMLIN,DUBLIN 12,,Dublin,CATHOLIC,N,Y,N,87,220,307,313769,231977,-6.2923,53.3258
837,18455R,OUR LADY OF ASSUMPTION,SIURACHA NA CARTHANACHA,BAILE UAILCIN,BAILE ATHA CLIATH 12,,Dublin,CATHOLIC,N,N,N,0,238,238,311143,231629,-6.33183,53.3233
838,18477E,SCOIL NA MBRATHAR,FRANCIS STREET,DUBLIN 8,,,Dublin,CATHOLIC,N,Y,N,130,0,130,315044,233719,-6.27254,53.3412
839,18585H,SN BANRION NA NAINGEAL1,BALLYFERMOT,DUBLIN 10,,,Dublin,CATHOLIC,N,Y,N,128,0,128,309193,234137,-6.36022,53.3462
840,18632N,S N EOIN BOSCO NAI BUAC,NAVAN RD,DUBLIN 7,,,Dublin,CATHOLIC,N,N,N,257,0,257,312248,236650,-6.31347,53.3681
841,18646B,SPRINGDALE N S,SPRINGDALE NS,LOUGH DERG RD,RAHENY,DUBLIN 5,Dublin,CHURCH OF IRELAND,N,N,N,106,78,184,321186,238421,-6.17857,53.3821
842,18682F,ST CANICES B N S,FINGLAS,DUBLIN 11,,,Dublin,CATHOLIC,N,Y,N,431,0,431,313682,239008,-6.29108,53.389
843,18683H,ST CANICES G N S,FINGLAS,DUBLIN 11,,,Dublin,CATHOLIC,N,Y,N,0,418,418,313367,239027,-6.29581,53.3892
844,18726W,S N SEOSAMH NA MBRATHAR,FAIRVIEW,DUBLIN 3,,,Dublin,CATHOLIC,N,Y,N,167,0,167,317635,236284,-6.23271,53.3637
845,18817C,S N BRIGHDE,CULLENSWOOD HOUSE,BR FEADHA CUILINN,RAGHNALLACH,B A C 6,Dublin,CATHOLIC,N,N,N,198,231,429,316181,231568,-6.25627,53.3216
846,18843D,BAINRION NA N-AINGAL 2,BALLYFERMOT UPPER,DUBLIN 10,,,Dublin,CATHOLIC,N,Y,N,101,0,101,309148,234143,-6.36089,53.3463
847,18910P,BANTIARNA NA MBUANNA B,BAILE MUNNA,DUBLIN 9,,,Dublin,CATHOLIC,N,Y,N,185,0,185,315345,238989,-6.26611,53.3885
848,18911R,BANTIARNA NA MBUANNA G,BAILE MUNNA,DUBLIN 9,,,Dublin,CATHOLIC,N,Y,N,0,155,155,315264,239027,-6.26731,53.3888
849,18968A,ST MALACHYS B N S,EDENMORE,RAHENY,DUBLIN 5,,Dublin,CATHOLIC,N,Y,N,217,0,217,321101,239074,-6.17959,53.3879
850,18969C,ST EITHNES SENIOR G N S,EDENMORE,RAHENY,DUBLIN 5,,Dublin,CATHOLIC,N,Y,N,0,135,135,321083,239222,-6.17981,53.3893
851,19006Q,EOIN BAISDE B SOIS,SEAFIELD RD,CLONTARF,DUBLIN 3,,Dublin,CATHOLIC,N,N,N,327,0,327,320068,236294,-6.19617,53.3632
852,19007S,EOIN BAISDE C NAOIDH,SEAFIELD ROAD,CLONTARF,DUBLIN 3,,Dublin,CATHOLIC,N,N,N,0,259,259,319916,236314,-6.19844,53.3634
853,19015R,ST JOSEPHS G N S,BARRY AVENUE,FINGLAS WEST,DUBLIN 11,,Dublin,CATHOLIC,N,Y,N,0,196,196,312515,239736,-6.30836,53.3958
854,19037E,ST MONICAS N S,EDENMORE,RAHENY,DUBLIN 5,,Dublin,CATHOLIC,N,Y,N,0,65,65,321096,239206,-6.17962,53.3891
855,19197D,ST KEVINS B N S,BARRY AVENUE,FINGLAS NORTH-WEST,DUBLIN 11,,Dublin,CATHOLIC,N,Y,N,173,0,173,312480,239642,-6.30892,53.3949
856,19208F,HOLY SPIRIT B N S,SILLOGE RD,BAILE MUNNA,ATHA CLIATH 11,,Dublin,CATHOLIC,N,Y,N,338,0,338,315137,239790,-6.26894,53.3957
857,19209H,SN AN SPIORAID NAIOMH C,SILLOGUE RD,BALLYMUN,DUBLIN 11,,Dublin,CATHOLIC,N,Y,N,0,273,273,315058,239755,-6.27014,53.3954
858,19242F,OUR LADY OF VICTORIES INFANT N S,BALLYMUN ROAD,DUBLIN 9,,,Dublin,CATHOLIC,N,Y,N,122,124,246,315376,238991,-6.26564,53.3885
859,19297H,CROMCASTLE GREEN B N S,KILMORE RD WEST,ARTANE,DUBLIN 5,,Dublin,CATHOLIC,N,Y,N,218,0,218,318461,239785,-6.21899,53.3949
860,19298J,SCOIL NAIS IDE CAILINI,KILMORE ROAD WEST,ARTANE,DUBLIN 5,,Dublin,CATHOLIC,N,Y,N,0,185,185,318459,239752,-6.21903,53.3946
861,19302U,SN NA MAIGHDINE MUIRE B,BALLYMUN,DUBLIN 9,,,Dublin,CATHOLIC,N,Y,N,131,0,131,315766,239780,-6.25949,53.3955
862,19303W,NA MAIGHDINE MHUIRE,SHANGAN ROAD,BALLYMUN,DUBLIN 9,,Dublin,CATHOLIC,N,Y,N,0,127,127,315727,239787,-6.26007,53.3955
863,19308J,ST BRIGIDS BOYS N S,HOWTH ROAD,KILLESTER,DUBLIN 5,,Dublin,CATHOLIC,N,N,N,387,0,387,320151,237562,-6.19444,53.3746
864,19309L,SCOIL NEASAIN,BAILE HARMAIN,BAILE ATH CLIATH 5,,,Dublin,CATHOLIC,N,N,N,126,125,251,320063,238374,-6.19545,53.3819
865,19395H,SCOIL MOBHI,BOTHAR MOBHI,GLASNAOIN,BAILE ATHA CLIATH 9,,Dublin,CATHOLIC,N,N,N,124,135,259,315643,237299,-6.26225,53.3732
866,19406J,HOLY TRINITY SEN N S,GRANGE ROAD,DONAGHMEDE,DUBLIN 13,,Dublin,CATHOLIC,N,N,N,179,149,328,322403,240121,-6.15963,53.397
867,19430G,SCOIL AN TSEACHTAR LAOCH,BALLYMUN ROAD,DUBLIN 11,,,Dublin,CATHOLIC,N,Y,N,106,104,210,315485,239434,-6.26384,53.3924
868,19431I,ST JOSEPHS JNR,BALCURRIS,BALLYMUN,DUBLIN 11,,Dublin,CATHOLIC,N,Y,N,73,71,144,315088,240365,-6.26947,53.4009
869,19454U,DARNDALE NS JUNIOR,OUR LADY IMMAC JUN NS,DARNDALE,MALAHIDE ROAD,DUBLIN 17,Dublin,CATHOLIC,N,Y,N,113,95,208,320207,240517,-6.19248,53.4011
870,19471U,ST PAULS JUNIOR NATIONAL SCHOOL,AYRFIELD,MALAHIDE RD,DUBLIN 13,,Dublin,CATHOLIC,N,N,N,131,102,233,320878,239824,-6.18266,53.3947
871,19473B,SCOIL BHRIDE,DONAGHMEDE,DUBLIN 13,,,Dublin,CATHOLIC,N,N,N,175,168,343,322370,240109,-6.16013,53.3969
872,19480V,ST PATRICKS,ST PATRICKS CLOSE,DUBLIN 8,,,Dublin,CHURCH OF IRELAND,N,N,N,20,9,29,315163,233464,-6.27085,53.3389
873,19489Q,SN NAOMH FINNIN,GLENTIES PARK,RIVERMOUNT,FINGLAS SOUTH,DUBLIN 11,Dublin,CATHOLIC,N,Y,N,149,79,228,312370,238017,-6.31115,53.3804
874,19496N,SCOIL FHIACHRA SOISIR,BEAUMONT,DUBLIN 5,,,Dublin,CATHOLIC,N,N,N,358,328,686,318038,238890,-6.22568,53.387
875,19524P,OUR LADY IMMAC SEN N S,OUR LADY IMMAC SEN NS,DARNDALE,DUBLIN 17,,Dublin,CATHOLIC,N,Y,N,133,105,238,320208,240569,-6.19244,53.4016
876,19538D,ST KEVINS JUNIOR N S,NEWBROOK AVE,DONAGHMEDE,DUBLIN 13,,Dublin,CATHOLIC,N,N,N,53,50,103,322589,240047,-6.15686,53.3963
877,19546C,ST OLIVER PLUNKETT N S,ST OLIVER PLUNKETT NS,ST HELENAS DRIVE,FINGLAS,DUBLIN 11,Dublin,CATHOLIC,N,Y,N,91,57,148,313187,238175,-6.29882,53.3816
878,19583I,ST JOSEPHS SENIOR N S,ST JOSEPHS SENIOR NS,BALCURRIS,BALLYMUN,DUBLIN 11,Dublin,CATHOLIC,N,Y,N,59,70,129,314989,240391,-6.27094,53.4011
879,19589U,GAELSCOIL INSE CHOR,DROICHEAD NA HINSE,BAILE ATHA CLIATH 8,,,Dublin,CATHOLIC,N,N,N,134,102,236,312485,233948,-6.31087,53.3438
880,19611K,SCOIL NAOMH COLMCILLE,NEWBROOK RD,DONAGHMEDE,DUBLIN 13,,Dublin,CATHOLIC,N,N,N,84,49,133,322491,240071,-6.15832,53.3966
881,19618B,ST PAULS SEN NS,AYRFIELD,MALAHIDE RD,DUBLIN 13,,Dublin,CATHOLIC,N,N,N,121,112,233,320869,239856,-6.18278,53.395
882,19619D,ST MALACHYS NS,RIVERMOUNT,FINGLAS,DUBLIN 11,,Dublin,CATHOLIC,N,Y,N,75,60,135,313184,238235,-6.29885,53.3822
883,19628E,ST FIACHRAS SEN N S,BEAUMONT,MONTROSE,DUBLIN 5,,Dublin,CATHOLIC,N,N,N,312,307,619,318186,238945,-6.22344,53.3874
884,19661C,ST GABRIELS NS,DOMINICAN CAMPUS,BALLYFERMOT,DUBLIN 10,,Dublin,CATHOLIC,N,Y,N,67,143,210,310125,233774,-6.34635,53.3427
885,19662E,ST MICHAELS NS,DOMINICAN CONVENT,BALLYFERMOT,DUBLIN 10,,Dublin,CATHOLIC,N,Y,N,73,206,279,310073,233818,-6.34712,53.3431
886,19663G,ST RAPHAELS NS,DOMINICAN CONVENT,BALLYFERMOT,DUBLIN 10,,Dublin,CATHOLIC,N,Y,N,63,165,228,310097,233797,-6.34677,53.3429
887,19668Q,ST FRANCIS SENIOR N S,PRIORSWOOD,DUBLIN 17,,,Dublin,CATHOLIC,N,Y,N,110,84,194,319371,240773,-6.20494,53.4036
888,19669S,LADY OF GOOD COUNSEL NS,MOURNE RD,DRIMNAGH,DUBLIN 12,,Dublin,CATHOLIC,N,Y,N,167,0,167,312148,232374,-6.31649,53.3297
889,19727G,ST MARYS CENTRAL N S,BELMONT AVENUE,DONNYBROOK,DUBLIN 4,,Dublin,CATHOLIC,N,N,N,113,137,250,317403,231509,-6.23796,53.3208
890,19764M,OUR LADY OF WAYSIDE N S,BLUEBELL,INCHICORE,DUBLIN 12,,Dublin,CATHOLIC,N,Y,N,62,60,122,310782,232489,-6.33694,53.3311
891,19774P,ST JOSEPHS MXD N S,EAST WALL,DUBLIN 3,,,Dublin,CATHOLIC,N,Y,N,85,85,170,317986,235235,-6.22783,53.3542
892,19777V,GAELSCOIL MIDE,BOTHAR AN GHLEANTAIN,GHLAIS CILL BHARROG,BAILE ATHA CLIATH 5,,Dublin,CATHOLIC,N,N,N,120,116,236,322949,238825,-6.15193,53.3853
893,19831B,SCOIL CHAOIMHIN,SRAID MHAOILBHRIDE,BAILE ATHA CLIATH 1,,,Dublin,CATHOLIC,N,Y,N,20,26,46,316070,234842,-6.25673,53.3511
894,19837N,DRIMNAGH CASTLE CBS N S,DRIMNAGH CASTLE,DUBLIN 12,,,Dublin,CATHOLIC,N,N,N,444,0,444,311265,231728,-6.32996,53.3241
895,19845M,NORTH DUBLIN NS PROJECT,BALLYMUN ROAD,DUBLIN 9,,,Dublin,MULTI DENOMINATIONAL,N,N,N,121,107,228,315282,238234,-6.26733,53.3817
896,19889J,SCOIL COLM,ARMAGH ROAD,CRUMLIN,DUBLIN 12,,Dublin,CATHOLIC,N,Y,N,119,0,119,312837,231349,-6.30651,53.3204
897,19896G,SCOIL CAITRIONA NA MBRAITHRE,BAGGOT ST,DUBLIN 2,,,Dublin,CATHOLIC,N,Y,N,49,42,91,316902,233182,-6.24486,53.336
898,19907I,GAELSCOIL MOLOGA,BOTHAR CHLAREVILLE,BAILE ATHA CLIATH 6W,,,Dublin,CATHOLIC,N,N,N,107,109,216,314319,231020,-6.2844,53.3171
899,19913D,ST JOSEPHS NS,MACROOM ROAD,BONNYBROOK,DUBLIN 17,,Dublin,CATHOLIC,N,Y,N,172,163,335,319566,240142,-6.20225,53.3979
900,19919P,ST DAVIDS N S,KILMORE ROAD,ARTANE,DUBLIN 5,,Dublin,CATHOLIC,N,N,N,329,0,329,318668,238750,-6.21627,53.3856
901,19920A,ST JOHN OF GOD N S,KILMORE ROAD,ARTANE,DUBLIN 5,,Dublin,CATHOLIC,N,Y,N,0,178,178,318652,239177,-6.21635,53.3894
902,19924I,HAROLDS CROSS N S,HAROLDS CROSS,DUBLIN 6W,,,Dublin,CATHOLIC,N,Y,N,155,116,271,314293,231021,-6.28479,53.3171
903,19926M,GAELSCOIL CHOLAISTE MHUIRE,4 CEARNOG PHARNELL,B.A.C. 1,,,Dublin,CATHOLIC,N,N,N,94,98,192,315771,235090,-6.26113,53.3534
