Off_Name,Add_1,Add_2,Add_3,County,Gender,Attendance Time,Irish Language,Fee,Ethos,Number of Females 2014,Number of Males 2014,xcoord,ycoord,Long,Lat,Roll_No
Lusk Community College,Raheny Lane,Rathmore Road,Lusk,Dublin,Mixed,Day,No subjects taught through Irish,N,MULTI DENOMINATIONAL,46,60,322256.4,254752.43,322256.4,254752.43,76213T
Col�iste Bhaile Chl�ir,Claregalway,Co. Galway,,Galway,Mixed,Day,No subjects taught through Irish,N,MULTI DENOMINATIONAL,72,90,137166.04,233450.65,137166.04,233450.66,76233C
Newpark Comprehensive School,Newtown Park Avenue,Blackrock,Co Dublin,Dublin,Mixed,Day,No subjects taught through Irish,N,CHURCH OF IRELAND,377,465,321872,228141,321872,228141,81001I
Mount Temple Comprehensive School,Malahide Road,Dublin 3,,Dublin,Mixed,Day,No subjects taught through Irish,N,CHURCH OF IRELAND,411,469,318352,236834,318352,236834,81002K
St Aidans Comprehensive School,Cootehill,Co Cavan,,Cavan,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,243,250,261365,313432,261365,313432,81005Q
Tarbert Comprehensive School,Tarbert,Listowel,Co Kerry,Kerry,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,273,355,106233,147863,106233,147863,81006S
Shannon Comprehensive School,Shannon,Co Clare,,Clare,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,345,343,140589,161842,140589,161842,81007U
Ashton School,Blackrock Road,Cork,,Cork,Mixed,Day,No subjects taught through Irish,N,CHURCH OF IRELAND,229,283,168930,71280,168930,71280,81008W
Boherbue Comprehensive School,Boherbue,Mallow,Co Cork,Cork,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,179,185,127382,101321,127382,101321,81009B
St Columba's Comprehensive School,Glenties,Co Donegal,,Donegal,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,174,217,181650,394671,181650,394671,81010J
The Royal and Prior School,Raphoe,Co Donegal,,Donegal,Mixed,Mixed,No subjects taught through Irish,N,CHURCH OF IRELAND,275,269,226349,403226,226349,403226,81011L
Scoil Chuimsitheach Chiar�in,An Cheathr� Rua,Co na Gaillimhe,,Galway,Mixed,Day,All pupils taught all subjects through Irish,N,INTER DENOMINATIONAL,135,167,93427,224705,93427,224705,81012N
St. Clare's Comprehensive School,Manorhamilton,Co. Leitrim,,Leitrim,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,217,264,188527,339250,188527,339250,81013P
Crescent College Comprehensive,Dooradoyle Rd,Dooradoyle,Limerick,Limerick,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,388,503,156664,154087,156664,154087,81014R
East Glendalough School,Station Road,Wicklow Town,,Wicklow,Mixed,Day,No subjects taught through Irish,N,CHURCH OF IRELAND,187,213,330727,194713,330727,194713,81016V
TRINITY COMPREHENSIVE SCHOOL,BALLYMUN ROAD,DUBLIN 9,,Dublin,Mixed,Day,No subjects taught through Irish,N,Catholic,198,197,315652,239495,315652,239495,81017A
Holy Family Community School,Kilteel Road,Rathcoole,Co Dublin,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,376,492,301443,226216,301443,226216,91301D
Phobailscoil Iosolde,Palmerstown,Dublin 20,,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,224,312,308139,234340,308139,234340,91302F
Ballinteer Community School,Ballinteer,Dublin 16,,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,153,207,316221,227068,316221,227068,91305L
Cabinteely Community School,Cabinteely,Dublin 18,,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,247,278,323748,225086,323748,225086,91310E
Scoil Phobail Chuil Mhin,Cluain Saileach,Baile Atha Cliath 15,,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,510,580,306786,238793,306786,238793,91315O
Blakestown Community School,Blanchardstown,Dublin 15,,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,248,261,306256,239595,306256,239595,91316Q
The Donahies Community School,Streamville Road,Dublin 13,,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,218,304,321582,239639,321582,239639,91318U
Portmarnock Community School,Carrickhill Road,Portmarnock,Co Dublin,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,385,479,323821,243985,323821,243985,91324P
Malahide Community School,Broomfield,Malahide,Co. Dublin,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,588,628,322824,244694,322824,244694,91325R
Holy Child Community School,Pearse St,Sallynoggin,Co Dublin,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,107,166,324357,226662,324357,226662,91330K
St Marks Community School,Cookstown Rd,Tallaght,Dublin 24,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,404,467,307484,227971,307484,227971,91332O
Tallaght Community School,Balrothery,Tallaght,Dublin 24,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,314,436,310833,228418,310833,228418,91335U
Old Bawn Community School,Old Bawn,Tallaght,Dublin 24,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,331,492,308717,227116,308717,227116,91336W
Killinarden Community School,Killinarden,Tallaght,Dublin 24,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,220,246,306960,226255,306960,226255,91337B
St Aidan's Community School,Brookfield,Tallaght,Dublin 24,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,226,273,305920,227402,305920,227402,91338D
Hartstown Community School,Clonsilla,Dublin 15,,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,489,602,305411,239585,305411,239585,91339F
Pobalscoil Neas�in,Baldoyle,Dublin 13,,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,202,449,324378,239587,324378,239587,91342R
St. Tiernan's Community School,Parkvale,Balally,Dublin 16,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,158,210,317509,227114,317509,227114,91343T
Rosmini Community School,Grace Park Road,Drumcondra,Dublin 9,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,91,157,316860,237079,316860,237079,91344V
Bailieborough Community School,Bailieborough,Co Cavan,,Cavan,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,284,301,267478,296423,267478,296423,91351S
Tullow Community School,The Mullawn,Tullow,Co. Carlow,Carlow,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,319,298,285554,172768,285554,172768,91356F
Community School,Castlecomer,Co Kilkenny,,Kilkenny,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,287,319,252946,172770,252946,172770,91360T
Leixlip Community School,Celbridge Road,Leixlip,Co. Kildare,Kildare,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,296,376,299956,235879,299956,235879,91371B
Scoil Mhuire Community School,Clane,Naas,Co Kildare,Kildare,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,502,507,286891,227658,286891,227658,91372D
St. Kilian's Community School,Ballywaltrim,Bray,Co. Wicklow,Wicklow,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,240,248,325271,216592,325271,216592,91376L
Ballincollig Community School,Innishmore,Ballincollig,Co Cork,Cork,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,354,403,158612,71026,158612,71026,91386O
Beara Community School,Castletownbere,Beara,Co Cork,Cork,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,145,182,67600,45577,67600,45577,91387Q
Carrigaline Community School,Waterpark,Carrigaline,Co Cork,Cork,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,506,483,173380,62839,173380,62839,91388S
Millstreet Community School,Millstreet Town,Co Cork,,Cork,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,129,123,126736,90522,126736,90522,91390F
St Peter's Community School,Passage West,Co Cork,,Cork,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,154,142,176628,68156,176628,68156,91391H
Douglas Community School,Clermont Avenue,Douglas,Cork,Cork,Boys,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,0,563,169587,69643,169587,69643,91396R
Bishopstown Community School,Bishopstown,Cork,,Cork,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,100,132,163836,70263,163836,70263,91397T
Mayfield Community School,Old Youghal Road,Mayfield,Cork,Cork,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,79,235,169525,73407,169525,73407,91400F
Carndonagh Community School,Carndonagh,Lifford,Co Donegal,Donegal,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,504,485,246480,444954,246480,444954,91406R
Rosses Community School,Dungloe,Co. Donegal,,Donegal,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,245,280,177489,411369,177489,411369,91407T
Pobalscoil Chloich Cheannfhaola,An F�lcarrach,Leitir Ceanainn,Co. Dh�n na nGall,Donegal,Mixed,Day,Some pupils taught some subjects through Irish,N,INTER DENOMINATIONAL,234,202,193692,432735,193692,432735,91408V
Pobalscoil Ghaoth Dobhair,Doir� Beaga,Leitir Ceannain,Tir Chonaill,Donegal,Mixed,Day,All pupils taught all subjects through Irish,N,INTER DENOMINATIONAL,156,188,182262,427736,182262,427736,91409A
Scoil Phobail Mhic Dara,Carna,Co na Gaillimhe,,Galway,Mixed,Day,All pupils taught all subjects through Irish,N,INTER DENOMINATIONAL,63,51,78875,231919,78875,231919,91411K
Scoil Phobail,Clifden,Co Galway,,Galway,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,198,225,65794,249481,65794,249481,91412M
Portumna Community School,Portumna,Co. Galway,,Galway,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,210,239,185300,204816,185300,204816,91413O
Dunmore Community School,Dunmore,Co Galway,,Galway,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,150,157,151127,263203,151127,263203,91414Q
Mountmellick Community School,Mountmellick,Co Laois,,Laois,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,193,227,245073,207679,245073,207679,91426A
Heywood Community School,Ballinakill,Portlaoise,Co. Laois,Laois,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,327,358,247207,181813,247207,181813,91427C
Ramsgrange Community School,Ramsgrange,New Ross,Co Wexford,Wexford,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,171,184,274078,110913,274078,110913,91431Q
Moyne Community School,Moyne,Co Longford,,Longford,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,280,325,223180,295485,223180,295485,91436D
Ardee Community School,Ardee,Co Louth,,Louth,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,350,371,295717,290045,295717,290045,91441T
St Endas Community School,Kilmallock Rd,Limerick,,Limerick,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,30,51,159491,155218,159491,155218,91446G
St Caimin's Community School,Tullyvarraga,Shannon,,Clare,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,334,387,141797,161948,141797,161948,91447I
Kilrush Community School,Kilrush,Co Clare,,Clare,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,187,224,99631,155545,99631,155545,91448K
St Ciaran's Community School,Navan Rd,Kells,Co Meath,Meath,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,101,530,274531,275513,274531,275513,91456J
Ballyhaunis Community School,Knock Road,Ballyhaunis,Co.Mayo,Mayo,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,246,268,148575,279857,148575,279857,91461C
Ballinrobe Community School,Convent Road,Ballinrobe,Co Mayo,Mayo,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,269,316,119812,264350,119812,264350,91462E
St.Brendan's Community School,Birr,Co Offaly,,Offaly,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,431,469,205647,206031,205647,206031,91491L
Gorey Community School,Esmonde Street,Gorey,Co. Wexford,Wexford,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,751,767,315892,159405,315892,159405,91492N
Castlerea Community School,Castlerea,Co. Roscommon,,Roscommon,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,225,207,168164,279659,168164,279659,91493P
St Louis Community School,Kiltimagh,Co Mayo,,Mayo,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,372,305,134088,289218,134088,289218,91494R
Ashbourne Community School,Deerpark,Ashbourne,Co Meath,Meath,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,484,582,306995,251646,306995,251646,91495T
Community School,Carrick-On-Shannon,Leitrim,,Leitrim,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,295,284,194454,299961,194454,299961,91496V
Cashel Community School,Dualla Road,Cashel,Co Tipperary,Tipperary,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,356,447,208069,140803,208069,140803,91497A
Gort Community School,Gort,Co. Galway,,Galway,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,294,382,145646,201466,145646,201466,91498C
Kinsale Community School,Kinsale,Co Cork,,Cork,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,431,367,163445,50276,163445,50276,91499E
Loreto Community School,Milford,Co Donegal,,Donegal,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,375,381,218629,426887,218629,426887,91500J
Moate Community School,Church Street,Moate,Co Westmeath,Westmeath,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,676,571,218270,238502,218270,238502,91501L
John The Baptist Community School,Hospital,Co Limerick,,Limerick,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,440,483,170504,135820,170504,135820,91502N
Pobalscoil Inbhear Sceine,Kenmare,Co. Kerry,,Kerry,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,230,252,91087,71183,91087,71183,91503P
Scoil Phobail Sliabh Luachra,Rathmore,Co. Kerry,,Kerry,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,204,232,114588,92572,114588,92572,91504R
St Wolstan's Community School,Ballymakeely,Clane Rd,Celbridge,Kildare,Girls,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,774,0,295851,232462,295851,232462,91505T
Col�iste Cholmcille,College St,Ballyshannon,Co Donegal,Donegal,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,335,319,188109,361662,188109,361662,91506V
Boyne Community School,Trim,Co. Meath,,Meath,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,134,619,280629,256301,280629,256301,91508C
BLACKWATER COMMUNITY SCHOOL,Ballyanchor Road,Lismore,Co Waterford,Waterford,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,371,389,204139,98085,204139,98085,91509E
St. Colmcille's Community School,Scholarstown Rd,Knocklyon,Dublin 16,Dublin,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,340,379,312459,226671,312459,226671,91510M
Pobalscoil Chorca Dhuibhne,An Grobh,An Daingean,Co. Chiarra�,Kerry,Mixed,Day,All pupils taught all subjects through Irish,N,INTER DENOMINATIONAL,226,222,44842,101415,44842,101415,91511O
St Attracta's Community School,Tubbercurry,Co. Sligo,,Sligo,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,287,314,150272,311845,150272,311845,91512Q
Pobalscoil na Tr�on�ide,Frogmore,Youghal,Co. Cork,Cork,Mixed,Day,Some pupils taught all subjects through Irish,N,INTER DENOMINATIONAL,412,428,208761,77649,208761,77649,91513S
GLENAMADDY COMMUNITY SCHOOL,GLENAMADDY,CO GALWAY,,Galway,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,217,207,162648,262083,162648,262083,91514U
GALLEN COMMUNITY SCHOOL,FERBANE,CO OFFALY,,Offaly,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,197,185,211470,224321,211470,224321,91515W
ATHBOY COMMUNITY SCHOOL,ATHBOY,CO MEATH,,Meath,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,218,341,271958,264413,271958,264413,91517D
BALLINAMORE COMMUNITY SCHOOL,BALLINAMORE,CO LEITRIM,,Leitrim,Mixed,Day,No subjects taught through Irish,N,MULTI DENOMINATIONAL,133,151,213664.55,312223.36,213664.55,312223.37,91519H
KILDARE TOWN COMMUNITY SCHOOL,KILDARE,CO KILDARE,,Kildare,Mixed,Day,No subjects taught through Irish,N,MULTI DENOMINATIONAL,320,355,272736.32,213845.55,272736.33,213845.55,91530S
MOUNTRATH COMMUNITY SCHOOL,Dysartbeigh,Mountrath,Co. Laois,Laois,Mixed,Day,No subjects taught through Irish,N,INTER DENOMINATIONAL,373,369,234826,193964,234826,193964,91550B
