Venue,Address 1,Address 2,Phone,Web
Bershka,Jervis Street Shopping Centre,Mary Street,01 8148891,http://www.bershka.com
Bertoni,100 Talbot Street,,01 8747617,
Bertoni Neon,First Floor,St. Stephens Shopping Centre,01 4781906,
Best Menswear,39 Mary Street,,01 8726622,http://www.bestsmenswear.com/
Best Menswear,Ground Floor,St. Stephens Green Shopping Centre,01 4784655,http://www.bestsmenswear.com/
Birkenstock,36 Wicklow Street,,01 6753766,http://www.birkenstock.co.uk
Bistro,4-5 Castle Market,,01 6715430,http://www.thebistro.ie
Blacktie,140 Lower Baggot Street,,01 6763711,
Blarney Woollen Mills,26-27 Nassau Street,,01 6710068,http://www.blarney.com
Blooming Amazing,8-9 Royal Hibernian Way,Dawson Street,01 6795913,http://www.bloomingamazing.ie
Bobo's,22 Wexford Street,,01 4005760,
Boccaccio,18 Dame Street,,01 6797049,http://www.boccacciodublin.com
Body Shop,2 Post Office Building,Henry Street,01 8726454,http://www.thebodyshop.com
Body Shop,82 Grafton Street,,01 6794569,http://www.thebodyshop.com
Bokay,110a Lower Baggot Street,,01 6149764,
Bolands,21 Duke Street,,01 6776964,
Bonavox Ltd,9 North Earl Street,,01 8742341,http://www.bonavox.net
Boodles,71 Grafton Street,,01 6790203,http://www.boodles.com
Boots,50 Moore Mall,Ilac Centre,01 8722520,http://www.boots.ie/
Boots,First Floor,St. Stephens Shopping Centre,01 4751868,http://www.boots.ie/
Boots,Jervis Street Shopping Centre,Mary Street,01 8780200,http://www.boots.ie/
Boots Pharmacy,12 Grafton Street,,01 6773000,http://www.boots.ie
Boulevard Cafe,37 Exchequer Street,,01 6792131,
Boutique Lacoste - Menswear,12 Wicklow Street,,01 6716015,http://www.lacoste.com
Boylans Shoes,15 Royal Hibernian Way,,01 6711509,
Brambles @ City Hall,Dame Street,,01 6334386,
Brendon Kidd,19 Capel Street,,01 8729232,
Bridal Designs,25 Aungier Street,,01 4784211,
Broadway Amusements,8 Lower O�Connell Street,,01 8743459,
Brooks Hotel,Drury Street,,01 6704000,http://www.brookshotel.ie
Bryans,3a Talbot Street,,,
Budda Bag Dublin,Millenium Walkway,,01 8734245,http://www.buddabag.com
Budget Travel Shop,1 Lower Liffey Street,,01 8729077,http://www.budgettravel.ie
Budget Travel Shop,134 Lower Baggot Street,,01 6311100,http://www.budgettravel.ie
Buffalo,16 Exchequer Street,,01 6712492,http://www.buffalo-boots.com
Burger King,39 Grafton Street,,01 6772516,http://www.okr.ie
Burger King,53 - 54 Lower O�Connell Street ,,01 8722474,http://www.okr.ie
Burger King,65 Parnell Mall,Ilac Centre,01 8782247,http://www.okr.ie
Burger King,9 Lower Baggot Street,,01 6619896,http://www.okr.ie
Burger King,Jervis Street Shopping Centre,Mary Street,01 8781495,http://www.okr.ie
Burton,Jervis Street Shopping Centre,Mary Street,01 8781016,http://www.burton.co.uk
Bus Stop Newsagents,6 Grafton Street,,01 6714476,
Bus Stop Newsagents,8 Upper O'Connell Street,,01 8787001,
Busaras,Store Street,,01 8366111,http://www.buseireann.ie
Buskers Bar,14 Fleet Street,,01 6773333,http://www.templebarhotel.com
Butlers Chocolate Cafe,2 Lower Liffey Street,,01 8783402,http://www.butlerschocolates.com
Byblos Restaurant,11 St Andrews Street,,01 6791517,
Bygone Days,George's Street Arcade.,,08 63210740,
C & R Fireplaces,162 Capel Street,,01 8731728,
C.A.S.A.,26 Capel Street,,01 8728538,
C.O.M.,1-2 Scarlet Row,Essex Street,01 6708357,
Cabra Library,Navan Road,,01 8691414,http://www.dublincitypubliclibraries.ie
Cactus Jacks,Millennium Walkway,Middle Abbey,01 451411,http://www.cactusjacks.ie
Caf� Angelo,36 Wexford Street,,01 4780683,
Caf� Leon,33 Exchequer Street,,01 6707238,http://www.cafeleon.ie
Cafe Mao,Chatham Row,,01 6704899,http://www.cafemao.com
Cafe Metzo,Unit 13 Park Shopping Centre,Prussia Street,01 8684920,
Caf� Sol,Harcourt Road,,01 4781016,
Caf� Sora,34 Aungier Street,,01 4758602,
Cafe Urbano,Jervis Street,Millenium Walkway,01 8740054,http://www.urbano.ie
Caffe Cagliostro,Lower Ormond Quay,Blooms Lane,01 8880860,
Cahills Pharmacy,36 Lower Camden Street,,01 4753160,
Camden Barber,75 Lower Camden Street,,085 1106601,
Camper,10 Wicklow Street,,01 7071501,http://www.camper.com
CanAmerica,67 Abbey Street Middle,,01 8720444,http://www.canamerica.ie
Capel Camping,132 Capel Street,,01 8734292,http://www.capelcamping.ie
Capel Court Upholstery,110 Capel Street,,01 8733162,
Capital Properties,9 Aungier Street,,01 4754144,http://www.capitalproperties.ie
Car Boot Shop,21 Eden Quay,,0,http://www.thecarbootshop.com
Car Boot Shop,21 Eden Quay,,086-6798849,http://www.thecarbootshop.com
Card Gallery,31 Grafton Street,,01 6794958,
Carl Scarda,25 Grafton Street,,01 6777846,
Carmelite Community Centre Whitefriar Street,56 Aungier Street,,01 4754673,
Carphone Warehouse,2 Henry Street,,1850424800,http://www.carphonewarehouse.ie/
Carphone Warehouse,30 Grafton Street,,01 6705265,http://www.carphonewarehouse.ie
Carphone Warehouse,8 North Earl Street,,,http://www.carphonewarehouse.ie/
Carrolls Irish Gifts,39 Henry Street,,01 8731491,http://www.carrollsirishgifts.com
Carrolls Irish Gifts,57 Upper O'Connell Street,,01 8735709,http://www.carrollsirishgifts.com
Carrolls Irish Gifts ,Ground Floor,St. Stephens Green Shopping Centre,01 4758909,http://www.carrollsirishgifts.com
Caru,30 Drury Street,,01 6040754,http://www.caru.ie
Celtic Collection,Jervis Street Shopping Centre,Mary Street,01 8786856,http://www.celticfc.co.uk
Celtic Spirit,Ground Floor,St. Stephens Green Shopping Centre,,
Celtic Whiskey Shop,27-28 Dawson Street ,,01 6759744,http://www.celticwhiskeyshop.com
Centra,121 Capel Street,,01 8782296,http://www.centra.ie/
Centra,4-6 North King Street,,01 8787431,http://www.centra.ie/
Centra,56 Dame Street,,01 6704146,http://www.centra.ie
Centra,9 Patrick Street,,,http://www.centra.ie/
Centra,9 Wicklow Street,,01 6333982,http://www.centra.ie
Centra,Camden Street,,01 6658160,http://www.centra.ie/
Centra,Temple Bar,,01 6709952,http://www.centra.ie/
Centra,Unit 1-2 North King Street,,01 8787433,http://www.centra.ie
Central Bar,18 Aungier Street,,01 4753808,
Central Library,Ilac Centre,Henry Street,01 8734333,http://www.dublincitypubliclibraries.ie
Central Ticket Bureau,33 Eden Quay,,01 8721122,http://www.centralticketbureau.com
Champion Sports,24 Henry Street,,01 8729808,http://www.champion.ie
Champion Sports,Jervis Street Shopping Centre,Mary Street,01 8781700,http://www.champion.ie/
Changs Chinese Buffet Restaurant,11a Lower Baggot Street,,01 6629642,
Charles Byrne,21-22 Lower Stephen Street,,01 4781773,http://www.charlesbyrne.com
Charlie's Malay and Chinese,71 Dame Street,,01 6793455,
Chartbusters,5 Heritage Village,,01 8783655,http://www.chartbusters.ie
Chesneau,37 Wicklow Street,,01 6729199,http://www.chesneaudesign.com
Chester Beatty Museum,Dublin Castle,,01 4070750,http://www.cbl.ie
China Blue Ltd,Merchant's Arch,Temple Bar,01 6718785,
Chinese Natural Herbal Centre,24 Aungier Street,,01 4756974,
Chorus Cafe,7 Scarlet Row,Fishamble Street,01 6167088,
Christchurch Cathedral,Christchurch Place,Dublin 8,01 6778099,www.cccdub.ie
Christie and Gargan Solicitors,Unit 2 Stewart Hall,Parnell Street,01 8726974,
Christopher David Hair Salon,72 Capel Street,,01 8745857,
Church,Mary Street,Dublin 1,01 8280102,www.thechurch.ie
CIE Tours,35 Lower Abbey Street,,01 7031829,http://www.cietours.ie
Cinderella Shoes,Second Floor,St. Stephens Green Shopping Centre,01 4750389,http://www.cinderellashoes.ie
Cinders,22 Wicklow Street,,01 6777491,http://www.cinders.ie
Citi Bar,46-49 Dame Street,,01 6794455,
City Electronics Ltd,73 Aungier Street,,01 4780915,
City Hall Exhibition,Dame Street,,01 2222204,http://www.dublincity.ie
City Hall Rotunda,Dame Street,,01 2222204,http://www.dublincity.ie/
City Pharmacy,14 Dame Street,,01 6704523,http://www.citypharmacy.ie
Claire's,75 Central Mall,Ilac Centre,01 8583112,http://www.claires.com
Clarence Hotel,6-8 Wellington Quay,,01 4070800,http://www.theclarence.ie
Clarion Hotel IFSC,IFSC,Clarion Quay,01 4338800,www.clarionhotelifsc.com
Clarks, 43-44 Lower O�Connell Street ,,01 8727665,http://www.clarks.co.uk
Classic,15 Talbot Street,,01 8727967,
Clearys,Irish Life Mall,,01 8786935,
Click,Ground Floor,St. Stephens Green Shopping Centre,01 4750446,
Clontarf Castle Hotel,Castle Avenue,Clontarf,01 8332321,www.clontarfcastle.ie
Cocobelle,25 Royal Hibernian Way,Dawson Street,01 7071818,
Cocoon Bar and Bistro,2 Duke Lane,Royal Hibernian Way,01 6796488,http://www.cocoon.ie
Cody's,53 Capel Street,,01 8724274,
Coffee Society,Camden Street,,08 72379934,
Comfort Inn,Smithfield Plaza,,01 4850900,http://www.comfortinns.ie
Connected Clothing,69 Abbey Street Middle,,01 8721846,
Connolly Station,Amiens Street,,01 7032359,http://www.irishrail.ie
Copper Alley Bistro,2 Lord Edward Street,,01 6796500,
Corkscrew,4 Chatham Street,,01 6745731,
Cornerhouse Grill,17 South Great Georges Street,,01 7079596,http://www.cornerhousegrill.ie
Cowboys and Angels,4 South William Street,,01 6797654,http://www.cowboys-and-angels.ie
Croke Park,Jones's Road,,01 8192300,http://www.crokepark.ie
Curzon Launderette,19b Curzon Street,,01 4755439,
Cycelogical,3 Bachelor's Walk,,01 8724678,http://www.cyclelogical-bikes.com
Da Pino,38-40 Parliament Street,,01 6719308,
Dan - Tien,30-31 Bride Street,,01 4738845,http://www.dan-tien.com
Dandelion,St. Stephens Green (West),,01 4780870,
Darkey Kelly's,Fishamble Street,,01 6796500,
Davids,19 Royal Hibernian Way,Dawson Street,01 6337060,
Dawson Jewellers,21 Dawson Street,,01 6624437,
Dazzle Laundry, 6 - 11 Lower Kevin Street,,01 4756103,
DC Accountants,112 Dorset Street,,01 7867688,www.dca.ie
DC John,124 Dorset Stret,,,
Debenhams,54  - 62 Henry Street,,01 8447200,http://www.debenhams.com
Decor,14a Wexford Street,,01 4759010,
Decwells DIY,60 South Great Georges Street,,01 4781377,http://experthardware.ie
Delayney's Off Licence,17 Aungier Street,,01 4753808,
Delish,31 Wicklow Street,,01 6774190,
Denis MacSweeny Photoshop,23 Dawson Street,,01 6762891,http://www.denismacsweeny.com
Desmonds,19 Talbot Street,,01 8741935,
DHF,8 Arran Quay,,01 8725610,
Diep Le Shaker,55 Pembroke Lane,,01 6611829,http://www.diep.net
Diffney,First Floor,St. Stephens Shopping Centre,01 4752863,http://www.diffney.ie
Dixons,Jervis Street Shopping Centre,Mary Street,01 8781515,http://www.dixons.co.uk
Djinn,15a  Wexford Street,,01 4759919,http://www.djinnjewellery.com
Doheny and Nesbitt,4-5 Lower Baggot Street,,01 6762945,
Dolls Hospital,62 South Great George's Street,,01 4783403,http://www.dollstore.ie
Dolphin Discs,56 Moore Street,,01 8729998,http://www.essentialirish.com
Dolphin Discs,97a Talbot Street,,01 8747438,http://www.essentialirish.com
Dolphin's Barn Public Library,Parnell Road,,01 4540681,http://www.dublincitypubliclibraries.ie
Donegal Shop,Second Floor,St. Stephens Green Shopping Centre,01 4754621,http://www.donegalshop.ie
Dorothy Perkins,Jervis Street Shopping Centre,Mary Street,01 8781016,http://www.dorothyperkins.com
Down To Earth,72-73 South Great George's Street,,01 6719702,
Downeys Pharmacy,6 Lower Baggot Street,,01 6785612,
Dpoint,First Floor,St. Stephens Shopping Centre,01 4759763,
Dublin Bus,59 Upper O'Connell Street,,01 8734222,http://www.dublinbus.ie
Dublin City Gallery Hugh Lane,Parnell Saqure ,,01 2225564,http://www.hughlane.ie
Dublin City Motor Tax Office,Block B Blackhall Walk,Queen Street,01 222 8000,www.motortax.ie
Dublin Convenience,63 Lower Camden Street,,,
Dublin Locks,111 Capel Street,,01 8748495,
Dublin Pet Stores,118 Capel Street,,01 8743116,
Dublin Simon Community,57 Lower Camden Road,,01 4757012,
Dublin Thai Centre,5 College Court,Lower Kevin Street,01 4759518,http://www.thaimassagedublin.com
Dublin Zoo,Zoo Road,Phoenix Park Dublin 8,01 4748900,www.dublinzoo.ie
Dublinia,St. Michaels Hill,,01 6794611,http://www.dublinia.ie
Dubray Books,16 Grafton Street,,01 6775568,
Dunnes Stores,28 North Earl Street,,01 8585407,http://www.dunnesstores.ie
Dunnes Stores,45-51 South Great Georges Street,,01 6111600,http://www.dunnesstores.ie
Dunnes Stores,46-50 South Great George's Street,,01 4155044,http://www.dunnesstores.ie
Dunnes Stores,62 Grafton Street,,01 6714430,http://www.dunnesstores.ie
Dunnes Stores,Henry Street,,01 8146224,http://www.dunnesstores.com
Early Learning Centre,3 Henry Street,,01 8731945,http://www.elc.co.uk/
Eason,80 Middle Abbey Street,,18583800,http://www.eason.ie
Eason's & Son,Irish Life Mall,Talbot Street,01 8727010,http://www.easons.com
Ecco - Ladies,11 Wicklow Street,,01 6798714,http://www.ecco-shoes.co.uk
Eddie Rocket's City Diner,Wexford Street,,01 4752324,http://www.eddierockets.com
Eddie's Grocery,64a Clanbrassil Street Upper,,01 4534519,
Ed's Barber Shop,144 Upper Abbey Street,,01 8723391,
Electro Repair Centre,38-40 South Great Georges Street,,01 6751873,
Elverys Sports,56 Lower O'Connell Street,,01 8783934,http://www.elverys.ie
Elverys@CrokePark.ie,Jones's Road,,01 8192386,http://www.elverys.ie
Enable Ireland,25 Capel Street,,01 8733867,
Enable Ireland,8 South Great Georges Street,,01 4782763,http://www.enableireland.ie
Enable Ireland,8 South Great George's Street,,01 4782763,
Ernest Jones,81 Grafton Street,,01 6797599,http://www.ernestjones.co.uk
Euro 2,53 -54 Moore Street,,18731922,
Evergreen,34 Wexford Street,,01 4785265,
Everys Rugby,24 Dawson Street,,01 6791141,
Evolution,6 GPO Arcade,Henry Street,01 8748782,http://www.evolutiongifts.co.uk
F M Mobiles,76 Camden Street,,01 6750692,http://www.fmmobiles.ie
F X Buckley Meat Emporium,60-61 Moore Street,,01 8732607,
Fafies Creperie,2 Lower Kevin Street,,01 4763888,http://www.fafies.com
Falcon Travel Shop,97 Talbot Street,,01 8873707,http://www.falcontravelshop.ie
Fallon & Byrne,11-17 Exchequer Street,,01 4721010,http://www.fallonandbyrne.com
Fast Fix,Ground Floor,St. Stephens Green Shopping Centre,01 4755228,http://www.fast-fix.ie
Fat Face,31 Exchequer Street,,01 6772415,http://www.fatface.com
Favourite Fried Chicken,3a Clanbrassil Street Upper,,01 4167170,
Feraud,24 Duke Street,,01 6799910,
Fields,22 Grafton Street,,01 6712419,http://www.fields.ie
Fields,30 Henry Street,,01 8723790,http://www.fields.ie
Fields,Jervis Street Shopping Centre,Mary Street,01 8781578,http://www.fields.ie
Finnegan Menton,17 Merrion Row,,01 6147900,http://www.finneganmenton.ie
Fionn Uisce Restaurant,Pheonix Park Visitor Centre,Pheonix Park,01 6770090,
First Active,149a Lower Baggot Street,,01 6767742,http://www.firstactive.ie
First Stop,26 Bachelor's Walk,,01 8731593,
Fitzpatricks,76 Grafton Street,,01 6772333,
Floridita,Irish Life Mall,Lower Abbey Street,01 8781032,
Flynns,Edel House,51-52 Bolton Street,01 8727699,
FM Mobiles,40 South Great Georges Street,,01 6750692,http://www.fmmobiles.ie
Fogarty's,80 Dame Street,,01 6771961,http://www.fogartylockandsafe.com
Foley's Chemist,136 Parnell Street,,01 8746972,
Foot Locker,49 Lower O'Connell Street,,01 8049415,http://www.footlocker.ie
Footprint,68-69 Talbot Street,,01 8363764,http://www.scriptureunion.ie
Frame Art,Second Floor,St. Stephens Green Shopping Centre,01 4753241,
Frank's,2 Camden Street,,01 4753255,
Fresh The Good Food Market,Unit 7,Smithfield Village,01 8750271,http://www.freshthegoodfoodmarket.com
Fruitree,Wexford Street,,01 4751382,
Furniture Factory,161Capel Street,,01 8732071,
GAA Museum,Croke Park,,01 8192323,http://gaa.ie/museum
Gaiety Theatre,South King Street,,01 6771717,http://www.gaietytheatre.com
Gallery Number One,1 Castle Street,,01 4789090,http://www.gallerynumberone.com
Games Workshop,3 Lower Liffey Street,,01 8725791,
GameStop,12 Liffey Street Lower,,01 8724305,http://www.gamestop.ie
GameStop,Ground Floor,St. Stephens Green Shopping Centre,01 4784010,http://www.gamestop.ie
Gas and Electric,12 Lower Camden Street,,01 4751505,
Gas Company,31 Capel Street,,1890 818918,http://www.thegascompany.ie
General Post Office, Lower O'Connell Street ,,01 7057000,http://www.anpost.ie
George,89 South Great George's Street,,01 4782983,
George Dance Bar,89 South Great George's Street,,01  4782983,
George Frederic Handel Hotel,16-18 Fishamble Street,,01 6709400,http://www.handelshotel.com
Georges Street Pharmacy,24 South Great Georges Street,,01 6770804,
Georgian Fare,14 Lower Baggot Street,,01 6767736,
Gerards,Busaras,Store Street,,http://www.gerardsdeli.com
Gerry Duffy's Choice Meats,Unit 6 Park Shopping Centre,,01 8385869,
Gerry Keane,13-14 Talbot Street,,01 8724119,http://www.gerrykeane.ie
Gill's Mini Market,2-4 Old Cabra Road,,01 8380591,
Go - West,15 Wexford Street,,01 4753456,
Golden Discs,Ground Floor,St. Stephens Green Shopping Centre,01 4782918,http://www.goldendiscs.ie
Golden Discs,Jervis Street Shopping Centre,Mary Street,01 8781063,http://www.goldendiscs.ie
Goodwins,134 Capel Street,,01 8730846,
Grafton Crafts,34 Grafton Street,,01 6708864,
Great Mobile Accessories Shop,2a Talbot Street,,0864 068187,
Great Outdoors,Chatham House,Chatham Street,01 6794293,http://www.greatoutdoors.ie
Green Gallery,Second Floor,St. Stephens Green Shopping Centre,01 4783122,http://www.greengallery.ie
Greens Discount Jewellers,9 Aungier Street,,01 4751973,http://www.ryanscelticgold.com
Gresham Hotel,Upper O'Connell Street,,01 8787699,http://www.gresham-hotels.com/htm/Dublin/
Guess,22-23 South Anne Street,,01 6750458,
Guiness Storehouse,St. James's Gate,,01 4084800,http://www.guiness.com
Guineys & Co,79-80 Talbot Street,,01 8788835,
H Danker,10 South Anne Street,,01 6774009,http://www.hdanker.com
H H Design,60 Dawson Street,,01 6777077,
H. W Computer Systems,117 Capel Street,,01 8749034,
H.Samuel,1 Henry Street,,01 8733516,http://www.hsamuel.co.uk
Hackett,21-26 South Anne Street,,01 6770429,http://www.hackett.com
Hackett's Bookmakers,79 Dame Street,,01 6775104,
Hairspray,30 Wicklow Street,,01 6339004,http://www.hairspray.ie
Hairspray,67 Dame Street,,01 6708924,http://www.hairspray.ie
Hall Cameras, 95 Talbot Street,,01 8788332,http://www.hallcameras.ie
Hamilton Long,5 Lower O'Connell Street,,01 8748456,
Han Yang Asian Food Store,22 Great Strand Street,,01 8874405,http://www.hanyang.ie
Hanlon's Corner,189 North Circular Road,,01 8102054,http://www.hanlons.ie
Harding Hotel,Fishamble Street,,01 6796500,http://www.hardinghotel.ie
Hardware Home Centre,5 Pembroke Street Lower,,01 6763384,
Hassett and Fitzsimons,61-63 Dame Street,,01 6773591,
Havana Tapas Bar,South Great Georges Street,,01 4005990,http://www.havana.ie
Health Express Pharmacy,26-30 Upper Abbey Street,,01 8727522,http://www.healthexpress.ie
Health Matters,8 Grafton Street,,01 6710166,
Hearing Healthcare,60 Capel Street,,01 8726893,
Hemp Company,167 Capel Street,,01 8748515,http://www.hempcompany.ie
Herbal Inn,First Floor,St. Stephens Shopping Centre,01 4789387,http://www.herbal-inn.com
Herbs and Acupuncture,41 Henry Street,,01 8747998,http://www.herbmedic.co.uk
Herbs and Acupuncture,45 Grafton Street,,01 6718162,
Heuston Station,St. John's Road West,,01 7033299,http://www.irishrail.ie
Hibernian,142/143 Lower Baggot Street,,01 6078880,http://www.hibernian.ie
Hickey's Pharmacy,21 Grafton Street,,01 6790467,http://www.hickeyspharmacies.ie/
Hickey's Pharmacy,55 Lower O'Connell Street,,01 8730427,http://www.hickeyspharmacies.ie
Hickey's Pharmacy,6 Post Office Building,Henry Street,01 8731077,http://www.hickeyspharmacies.ie/
Hidden Hearing,49 Abbey Street Middle,,01 8721985,http://www.hiddenhearing.ie
HMV,65 Grafton Street,,01 6795334,http://www.hmv.com
H'N'H Kitchens and Bedrooms,20 Aungier Street,,01 4754536,
Hodges Figgis,56-58 Dawson Street,,01 6774754,
Hogan's,35-37 South Great Georges Street,,01 6775904,
Hogan's Butchers,30 Wexford Street,,01 4753187,
Holland and Barrett,First Floor,St. Stephens Shopping Centre,01 4780165,http://www.hollandandbarrett.com
Home & Abroad,1  Wexford Street,,01 4751177,http://www.homeandabroad.ie
Home Stores,6 Jervis Street,,01 8726728,http://www.home-stores.net
Horizon Internet Cafe,38 Aungier Street,,086 3448777,
House of Astrology,9 Parliament Street,,01 6793404,http://www.houseofastrology.net
House of Astrology,9 Parliament Street,,01 6793404,http://www.houseofastrology.net/
House of Cards,Ground Floor,St. Stephens Green Shopping Centre,01 4783662,
House of Colour,64 Abbey Street Middle,,01 8783633,http://www.houseofcolour.ie
House of Ireland,Nassau and Dawson Street,,01 6711111,http://www.houseofireland.com
HPJ Jewellers,27 Henry Street,,01 8740368,http://www.hpj-jewellers.co.uk
HPJ Jewellers,6 Talbot Street,,01 8747411,http://www.hpj-jewellers.co.uk
Hughes & Hughes,Ground Floor,St. Stephens Green Shopping Centre,01 4783060,http://www.hughesbooks.com
Hungarian Specialities,6 Ryders Row,,01 8788469,
Hunt Jewellers,Ground Floor,St. Stephens Green Shopping Centre,01 4785336,http://www.huntjewellers.ie
Hysteria Alt-Clothing,16 Bachelors Walk,,01 8148970,http://www.myspace.com/hysteria_alt_clothing
I Pod Cybercafe,72 Capel Street,,01 8656932,
Ink Plus,34a  Wexford Street,,01 4751000,
Inreda,71 Lower Camden Street,,01 4760362,http://www.inreda.ie
Insomnia,Upper Abbey Street,Millennium Walk,01 8780144,
Instrumental,17 Bachelors Walk,,01 8720233,
International Bar,23 Wicklow Street,,01 6779250,
International House Dublin,66 Lower Camden Street,,01 4759013,http://www.ihdublin.com
Intimate Lingerie,College Close,Tara Street,01 6771010,http://www.intimate-linger.ie
Irish Cancer Society,156 Capel Street,,01 8726838,
Irish Cancer Society,69 Lower Camden Street,,01 4750811,
Irish Celtic Craftshop,10-12 Lord Edward Street,,01 6799912,http://www.celticirishcrafts.com
Irish Church Missions Book Shop,28 Bachelor's Walk,,01 8730829,
Irish Film Institute,6 Eustace Street,,01 6795744,http://www.irishfilm.ie
Irish Jewel,7 Royal Hibernian Way,Dawson Street,01 6777161,http://www.irishjewel.com
Irish Nationwide,1 Lower O'Connell Street,,01 8782780,http://www.irish-nationwide.com
Irish Rubies Ltd,78 Marlborough Street,,01 8742047,
Jacobs Inn,21-28 Talbot Place,,01 8555660,http://www.isaacs.ie
Jaipur,41 South Great Georges Street,,01 6770999,http://www.jaipur.ie
Jaycee Quickprint,9-10 Bachelor's Walk,,01 8780060,http://www.jaycee.ie
Jean Scene,Jervis Street Shopping Centre,Mary Street,01 8781303,
Jervis Medical Centre,Jervis Street,,01 8735959,
Jervis Street Shopping Centre,Mary Street,,01 8781323,http://www.jervis.ie
JJ Fox Ltd,119 Grafton Street,,01 6770533,http://www.jjfox.ie
Joe Walsh Tours,69 Upper O'Connell Street,,01 8722555,http://www.joewalshtours.ie
John Brereton,29 Lower O'Connell Street,,01 8787311,http://www.johnbreretonjewellers.ie/
John David Sports,43-44 Mary Street,,01 8726393,http://www.jdsports.co.uk
John Farrington Antiques,32 Drury Street,,01 671899,
John J. Fogarty Bookmakers,6 Aungier Street,,01 4780055,
John Kehoe,9 South Anne Street,,01 6778312,
John P. Younge Auctioneers Ltd,35 Pembroke Street Lower,,01 6618428,
John's Cleaners 2,1 Terminus Mills,Clonskeagh Road,,
