Name,School_Roll_No,Address1,Address2,Address3,Phone,School_Level,Mixed_Status,Fee_paying,Completion_Prog,Lat,Long
Scoil Nais Caitriona- Saint Catherines National School,19624T,Saint Catherine'S Avenue,Rush,Co. Dublin,(01) 8438266,Primary,Mixed,No,,53.53502263,-6.099269702
Hedgestown Ns (Scoil Baile Falbhach),17472M,Jordanstown,Lusk,Co. Dublin,(01) 8438372,Primary,Mixed,No,,53.55071157,-6.207566205
Oldtown National School (S N Muire An Sean Baile),17263D,Oldtown,Co. Dublin, ,(01) 8433420,Primary,Mixed,No,,53.5244717,-6.31850695
Mary Queen Of Ireland National School,19693P,Toberburr,Saint Margaret's,Swords,(01) 8404629,Primary,Mixed,No,School Completion Programme,53.45257565,-6.292549532
Gaelscoil Oilibheir,19505L,Snugborough Road,Dublin 15, ,(01) 8215277,Primary,Mixed,No,,53.38737452,-6.397801593
Coolmine Community School- Scoil Phobail Chuil Mhin,91315O,Blanchardstown Road South,Dublin 15, ,(01) 8214141,Secondary,Mixed,No,,53.38873849,-6.395717348
Saint Helens Senior School,19762I,Limetree Avenue,Portmarnock,Dublin 13,(01) 8461808,Primary,Mixed,No,,53.43899863,-6.135803509
Saint Helens Junior School,19578P,Limetree Avenue,Portmarnock,Dublin 13,(01) 8461763,Primary,Mixed,No,,53.43990303,-6.136072263
Swords Borough N S ,12358M,Church Road,Swords,Co. Dublin,(01) 8407036,Primary,Mixed,No,,53.45745211,-6.22313009
Malahide Community School,91325R,Broomfield,Malahide,Co. Dublin,(01) 8463244,Secondary,Mixed,No,,53.43825306,-6.15248339
Milverton National School (Scoil Mobhi),15569R,Milverton,Skerries,Balbriggan,(01) 8492467,Primary,Mixed,No,,53.56464452,-6.147534121
Balscadden National School,09492W,Balscadden,Balbriggan,Co. Dublin,(01) 8412579,Primary,Mixed,No,,53.61527846,-6.232177122
Castleknock Educate Together National School,20098I,Beechpark Avenue,Dublin 15, ,(01) 8219331,Primary,Mixed,No,,53.3800111,-6.362796577
Riversdale Community College,70081V,Blanchardstown Road North,Dublin 15, ,(01) 8201488,Secondary,Mixed,No,School Completion Programme,53.4019245,-6.379346061
Sacred Heart National School,19755L,Huntstown Way,Huntstown,Dublin 15,(01) 8216400,Primary,Mixed,No,,53.40255896,-6.410052534
Saint Philips Sns,19643A,Mountview Road,Clonsilla,Dublin 15,(01) 8216101,Primary,Mixed,No,School Completion Programme,53.38962784,-6.407411201
Blakestown Community School,91316Q,Sheepmoor Avenue,Blakestown,Dublin 15,(01) 8215522,Secondary,Mixed,No,School Completion Programme,53.39604125,-6.403421228
Saint Patricks Sns,19636D,Blackcourt Road,Corduff,Dublin 15,(01) 8216563,Primary,Mixed,No,School Completion Programme,53.3987916,-6.377438884
Saint Mochtas National School,18778S,Porterstown Road,Clonsilla,Dublin 15,(01) 8210499,Primary,Mixed,No,,53.38200153,-6.405166248
Saint Francis Xaviers Jns,19435Q,Roselawn Road,Castleknock,Dublin 15,(01) 8210892,Primary,Mixed,No,,53.38348563,-6.383178779
Scoil Bride (Saint Brigids) Boys School,18046A,Castleknock Road,Dublin 15, ,(01) 8201299,Primary,Boys,No,,53.38432985,-6.372793443
Scoil Bride (Saint Brigids) Girls School,18047C,Castleknock Road,Dublin 15, ,(01) 8201717,Primary,Girls,No,,53.38455432,-6.37403379
Saint Mary'S School,19988L,Grange Road,Baldoyle,Dublin 13,(01) 8326782,Primary,Girls,No,,53.3979503,-6.137790937
Bayside Sns (Muire Agus Iosef),19533Q,Verbena Avenue,Sutton,Dublin 13,(01) 8393682,Primary,Mixed,No,,53.38974936,-6.146878175
Saint Patricks Jnr Mixed,16333Q,Beau-Piers Lane,Skerries,Balbriggan,(01) 8490836,Primary,Mixed,No,,53.57804881,-6.109407138
Saint Patricks Snr Mixed,16332O,Beau-Piers Lane,Skerries,Balbriggan,(01) 8490945,Primary,Mixed,No,,53.57799875,-6.110167357
Holmpatrick National School,14180H,Convent Lane,Skerries,Balbriggan,(01) 8491409,Primary,Mixed,No,,53.57967151,-6.107522503
Saint Marys Secondary School,60021U,Dublin Street,Baldoyle,Dublin 13,(01) 8325591,Secondary,Girls,No,,53.39691227,-6.12765352
Baldoyle National School (Saints Peter & Paul),17284L,Brookstone Road,Baldoyle,Dublin 13,(01) 8322938,Primary,Boys,No,,53.39642677,-6.132883273
Saint Finians Community College,70120F,Jugback Lane,Swords,Co. Dublin,(01) 8402623,Secondary,Mixed,No,School Completion Programme,53.46523334,-6.224600497
Burrow National School,09642P,Howth Road,Sutton,Dublin 13,(01) 8325784,Primary,Mixed,No,,53.39129048,-6.100284812
Donabate Portrane Educate Together,20161M,Ballisk Common,Portrane Road,Donabate,(01) 8434573,Primary,Mixed,No,,53.48956334,-6.146636451
Swords Educate Together,20145O,Applewood,Off Rathbeale Road,Swords,(01) 8903899,Primary,Mixed,No,,53.47266181,-6.250394286
Saint Fintans High School,60370W,Dublin Road,Sutton,Dublin 13,(01) 8324632,Secondary,Boys,No,,53.38918538,-6.117945623
Santa Sabina Convent School (Saint Dominics),60380C,Greenfield Road,Sutton,Dublin 13,(01) 8322200,Secondary,Girls,No,,53.3871307,-6.100558768
Saint Fintans National School,19549I,Carrickbrack Road,Sutton,Dublin 13,(01) 8391067,Primary,Mixed,No,,53.38037562,-6.095154947
Scoil Mhuire,18080A,Tuckett'S Lane,Howth,Dublin 13,(01) 8323572,Primary,Mixed,No,,53.38439452,-6.068928007
Sutton Park School,60381E,Sutton Park Schools,Saint Fintan'S Road,Sutton,(01) 8322940,Secondary,Mixed,Yes,,53.37712109,-6.093897117
Saint Bridgids National School,00697S,Beechpark Lawn,Castleknock,Dublin 15,(01) 8214040,Primary,Mixed,No,,53.37513862,-6.362208041
Brackenstown Jnr/ Saint Cronans Jns,19456B,Brackenstown Road,Swords,Co. Dublin,(01) 8402194,Primary,Mixed,No,School Completion Programme,53.45909408,-6.236449422
St. Cronans Sns/ Brackenstown Snr N S,19535U,Brackenstown Road,Swords,Co. Dublin,(01) 8403488,Primary,Mixed,No,School Completion Programme,53.45891428,-6.235461265
Saint Colmcilles Girl'S National School,18977B,Chapel Lane,Swords,Co. Dublin,(01) 8404168,Primary,Girls,No,School Completion Programme,53.45767022,-6.214372035
Gaelscoil An Duinninigh,19898K,Aspen Road,Kinsaley,Swords,(01) 8409640,Primary,Mixed,No,,53.44682381,-6.199831157
Castleknock College,60100Q,College Road,Castleknock,Dublin 15,(01) 8213051,Secondary,Boys,Yes,,53.3684107,-6.368609644
Mount Sackville Secondary School,60120W,Mount Sackville Convent,College Road,Dublin 20,(01) 8214061,Secondary,Girls,Yes,,53.3593625,-6.356321681
Scoil N Paedar Agus Pol -Saint Peter & Pauls Junior School,16972E,Chapel Street,Balbriggan,Co. Dublin,(01) 8412670,Primary,Mixed,No,,53.60995366,-6.188490007
Balbriggan Community College,70010V,42_56 Drogheda Street,Balbriggan,Co. Dublin,(01) 8412388,Secondary,Mixed,No,School Completion Programme,53.61125437,-6.188232656
Loreto Sec School,60010P,Brick Lane,Balbriggan,Co. Dublin,(01) 8411594,Secondary,Girls,No,,53.61225879,-6.185113539
Sn Naomh Treasa- Saint Theresas National School,19515O,Pinewood Green Hill,Balbriggan,Co. Dublin,(01) 8416270,Primary,Mixed,No,School Completion Programme,53.60355363,-6.174016113
Pope John Paul Ii School,19627C,Inbhir Ide Drive,Malahide,Co. Dublin,(01) 8450736,Primary,Mixed,No,,53.45404902,-6.169186498
Saint Andrews National School,11583O,Church Road,Malahide,Co. Dublin,(01) 8450185,Primary,Mixed,No,,53.44890885,-6.152963632
Scoil Noamh Mearnog- Saint Marnocks National School,10296G,Strand Road,Portmarnock,Dublin 13,(01) 8462060,Primary,Mixed,No,,53.42221652,-6.134994506
Portmarnock Community School,91324P,Carrickhill Road Upper,Portmarnock,Dublin 13,(01) 8038056,Secondary,Mixed,No,,53.43164255,-6.137779611
Saint Josephs Secondary School,60343T,Convent Lane,Rush,Co. Dublin,(01) 8437534,Secondary,Mixed,No,School Completion Programme,53.51991229,-6.090877794
Rush National School,19660A,Channel Road,Rush,Co. Dublin,(01) 8437095,Primary,Mixed,No,,53.52066551,-6.104333878
Hartstown Community School,91339F,Hartstown Road,Dublin 15, ,(01) 8207863,Secondary,Mixed,No,,53.39612724,-6.416116603
Fingal Community College,70121H,Seatown Road,Swords,Co. Dublin,(01) 8405829,Secondary,Mixed,No,School Completion Programme,53.46069724,-6.216778067
Saint Oliver Plunkett'S School,17914S,Grove Road,Malahide,Co. Dublin,(01) 8452052,Primary,Mixed,No,,53.44641815,-6.15075544
Garristown National School (Scoil Mhuire),17559B,The Green,Garristown,Co. Dublin,(01) 8354505,Primary,Mixed,No,,53.56277849,-6.38506478
Saint Margaret'S National School,18038B,Sandyhill,Saint Margaret's,Swords,(01) 8361669,Primary,Mixed,No,,53.43018748,-6.300504776
S N Na H-Aille - Naul National School,01170G,Naul Hill,Naul,Balbriggan,(01) 8413821,Primary,Mixed,No,,53.57887429,-6.285635999
Loreto College,60810B,36 River Valley,Swords,Co. Dublin,(01) 8407025,Secondary,Girls,No,,53.4543223,-6.245608008
Ballyboghil National School,19001G,Naul Road,Ballyboghil,Ballyboughal,(01) 8433469,Primary,Mixed,No,,53.52110508,-6.266416463
San Nioclas Myre- St Nicholas Of The Myre,17785K,Kinsaley,Dublin 17,Co. Dublin,(01) 8464033,Primary,Mixed,No,,53.4208233,-6.176037651
S N C  Naomh Padraig- Saint Patricks Girls National School,18412W,Portrane Road,Donabate,Malahide,(01) 8436201,Primary,Girls,No,,53.4927714,-6.135409552
Saint Patricks Boys National School,16267G,Portrane Road,Donabate,Malahide,(01) 8436168,Primary,Boys,No,,53.49372151,-6.135399302
Balrothery National School (Blessed Oliver),17569E,Coach Road,Balrothery,Balbriggan,(01) 8411494,Primary,Mixed,No,,53.58962574,-6.185860352
Rowlestown National School (Saint Brigids- Brigdhe Naofa),17820J,Kilsallaghan,Swords,Co. Dublin,(01) 8404130,Primary,Mixed,No,,53.49171434,-6.300343961
Kilcoskan School- Cill Coscain,17595F,Coolquay Common,The Ward,Dublin 11,(01) 8351508,Primary,Mixed,No,,53.4636664,-6.344715662
Corduff National School,15650A,Corduff,Lusk,Co. Dublin,(01) 8438274,Primary,Mixed,No,,53.51673501,-6.190686984
Gaelscoil Bhrian Boroimhe,20095C,Applewood,Off Rathbeale Road,Swords,(01) 8902799,Primary,Mixed,No,,53.47346366,-6.249924495
Holy Family Sns,19877C,Forrest Fields,River Valley,Swords,(01) 8406334,Primary,Mixed,No,School Completion Programme,53.45239349,-6.241903134
Holy Family Jns,19721R,Forrest Fields,River Valley,Swords,(01) 8404394,Primary,Mixed,No,,53.45183188,-6.241836183
Saint Sylvesters- Sn N Sailbheastar ,17928G,Yellow Walls Road,Malahide,Co Dublin,(01) 8450061,Primary,Mixed,No,,53.44957532,-6.16381207
Pobail Scoil Neasain,91342R,Moyclare Road,Baldoyle,Dublin 13,(01) 8063092,Secondary,Mixed,No,,53.39205789,-6.13124383
Saint Ciarans,19644C,Hartstown,Dublin 15, ,(01) 8212233,Primary,Mixed,No,,53.39382635,-6.420541791
Scoil Mhuire Sns,19694R,Blakestown Road,Mulhuddart,Dublin 15,(01) 8212288,Primary,Mixed,No,School Completion Programme,53.39786275,-6.400031552
Scoil Mhuire Jns- Scoil Nais Mhuire Sois,19605P,Blakestown Road,Blakestown,Dublin 15,(01) 8216916,Primary,Mixed,No,School Completion Programme,53.39762194,-6.40103893
Scoil Naisunta Chnuacha - Castleknock Ns,18623M,Main Street,Castleknock,Dublin 15,(01) 8202611,Primary,Mixed,No,,53.37420335,-6.362271547
St Benedicts Ns,20231H,Ongar,,,(01) 8026579,Primary,Mixed,,,53.39337091,-6.440451737
Scoil Choilm Community Ns,20241K,Porterstown Rd,Porterstown,Dublin 15,(01) 8213352,Primary,Mixed,,School Completion Programme,53.37605084,-6.408839743
Scoil Ghrainne Community Ns,20247W,Phibblestown,,Dublin 15,(01) 6402418,Primary,Mixed,,,53.39811194,-6.435577757
Gaelscoil Bhaile Brigin,20252P,Castlelands,Balbriggan,,(01) 8416036,Primary,Mixed,,,53.60063652,-6.179164615
Bracken Educate Together,20282B,Castlelands,Balbriggan,,(01) 6911476,Primary,Mixed,,School Completion Programme,53.60062387,-6.178334268
Gealscoil Ros Eo,20334R,Rush Demesne,Rush,,(01) 8949767,Primary,Mixed,,,53.53221185,-6.106133628
Thornleigh Avenue Et Ns,20302E,Thornleigh Green,Applewood Village,,(01) 8074969,Primary,Mixed,,,53.47227134,-6.233730226
Mary Mother Of Hope Jun Ns,20309S,Littlepace,Castaheny,,(01) 6405655,Primary,Mixed,,,53.40498255,-6.423710609
Skerries Etns,20307O,Barnageeragh Cove,Kellys Bay,,(01) 8494050,Primary,Mixed,,,53.58330928,-6.134502163
Castaheaney Educate Together ,20186F,Ongar Village,Clonsilla,Dublin 15,(01) 6467484,Primary,Mixed,No,School Completion Programme,53.39339297,-6.442687825
St Georges National School,15315J,Clonard Road,Balbriggan,,(01) 8410107,Primary,Mixed,No,,53.60711403,-6.203799782
Ardgillan Community College,76129H,Ardgillan,Balbriggan,,(01) 9680734,Secondary,Mixed,,,53.60065178,-6.180759608
Colaiste Pobail Setanta,76098W,Phibblestown,Dublin 15,,(01) 6402403,Secondary,Mixed,,,53.39757739,-6.434962949
Donabate Community College,76104O,Portrane Rd,Donabate,,(01) 8436726,Secondary,Mixed,,,53.48991218,-6.143210503
Blanchardstown Institute Of Technology,Blanchardstown Institute of Technology,"Block A, College Business & Technology Park",Blanchardstown Road North,Blanchardstown,(01) 8851000,Third Level,N/A,N/A,N/A,53.4063915,-6.376530262
Luttrellstown Community College,76130P,Mill Road,Blanchardstown,Dublin 15,(01) 8235262,Secondary,Mixed,No,,53.38955582,-6.372795147
Blanchardstown Youthreach,Blanchardstown Youthreach,The Brace Centre,Main StreetMain StreetMain StreetMain Street,Blanchardstown,(01) 8217007,Youthreach,Mixed,No,,53.38746249,-6.379036664
Swords Youthreach,Swords Youthreach,North Street,Swords,,(01) 8408253,Youthreach,Mixed,No,,53.46108778,-6.217218558
Rush Youthreach,Rush Youthreach,Convent Lane,Rush,,(01) 8439161,Youthreach,Mixed,No,,53.52141972,-6.090378722
Balbriggan Youthreach,Balbriggan Youthreach,"1st Floor, Sarsfield House",Mill Street,Balbriggan,(01) 9680600,Youthreach,Mixed,No,,53.61087889,-6.181975655
Holywell Educate Together National School,20348F,Holywell Road,Swords,,(01) 4444386,Primary,Mixed,No,,53.44484972,-6.209299708
