SURNAME,TITLE,POST-NOMINALS,SALUTATION,PARTY,ELECTORATE,MINISTRY,CONTACT ADDRESS LINE1,CONTACT ADDRESS LINE2,CONTACT ADDRESS LINE3,CONTACT ADDRESS SUBURB,CONTACT ADDRESS STATE,CONTACT ADDRESS POSTCODE,CONTACT ADDRESS POBOX ,CONTACT ADDRESS POBOX SUBURB,CONTACT ADDRESS POBOX STATE,CONTACT ADDRESS POBOX POSTCODE,CONTACT ADDRESS EMAIL,CONTACT ADDRESS PHONE,CONTACT ADDRESS FAX,CONTACT ADDRESS WEBSITE,MINISTERIAL OFFICE ADDRESS LINE1,MINISTERIAL OFFICE ADDRESS LINE2,MINISTERIAL OFFICE ADDRESS LINE3,MINISTERIAL OFFICE ADDRESS SUBURB,MINISTERIAL OFFICE ADDRESS STATE,MINISTERIAL OFFICE ADDRESS POSTCODE,MINISTERIAL OFFICE POBOX ,MINISTERIAL OFFICE POBOX SUBURB,MINISTERIAL OFFICE POBOX STATE,MINISTERIAL OFFICE POBOX POSTCODE,MINISTERIAL OFFICE EMAIL,MINISTERIAL OFFICE PHONE,MINISTERIAL OFFICE FAX,MINISTERIAL OFFICE WEBSITE,,,OFFICE HOLDER
Davies,Mrs,M.P. BAppSc(Phty),Mrs Davies,Liberal Party,Mulgoa,,Shop 1,159 Queen Street,,ST MARYS,NSW,2760,PO Box 138,St Marys,NSW,2760,mulgoa@parliament.nsw.gov.au,(02) 9833 2913,(02) 9833 4063,,,,,,,,,,,,,,,,,,
Dominello,The Hon.,M.P.,Minister,Liberal Party,Ryde,Minister for Citizenship and Communities; and Minister for Aboriginal Affairs,Suite 202 Ground Floor,5-9 Devlin Street,,RYDE,NSW,2112,,,,,ryde@parliament.nsw.gov.au,(02) 9808 3288,(02) 9877 6222,,Level 37 Governor Macquarie Tower,1 Farrer Place,,SYDNEY,NSW,2000,,,,,office@dominello.minister.nsw.gov.au,(02) 9228 4333,(02) 9228 4392,,,,
Doyle,Mr,M.P. MBA GCMGT LLB,Mr Doyle,Liberal Party,Campbelltown,,Suite 2A,263 Queen Street,,CAMPBELLTOWN,NSW,2560,,,,,campbelltown@parliament.nsw.gov.au,(02) 4625 3344,(02) 4626 3640,,,,,,,,,,,,,,,,,,
Edwards,Mr,M.P.,Mr Edwards,Liberal Party,Swansea,,Shop 1,204-206 Pacific Highway,,SWANSEA,NSW,2281,,,,,swansea@parliament.nsw.gov.au,(02) 4972 1133,(02) 4972 1494,,,,,,,,,,,,,,,,,,
Elliott,Mr,M.P. BA MA,Mr Elliott,Liberal Party,Baulkham Hills,,Suite 1,25-33 Old Northern Road,,BAULKHAM HILLS,NSW,2153,,,,,baulkhamhills@parliament.nsw.gov.au,(02) 9686 3110,(02) 9686 3212,,,,,,,,,,,,,,,,,,
Evans,Mr,M.P.,Mr Evans,Liberal Party,Heathcote,,Shops 1 & 2,17 - 23 Station Street,,ENGADINE,NSW,2233,,,,,heathcote@parliament.nsw.gov.au,(02) 9548 0144,(02) 9548 5639,,,,,,,,,,,,,,,,,,Acting Speaker
Flowers,Mr,M.P.,Mr Flowers,Liberal Party,Rockdale,,478 Princes Highway,,,ROCKDALE,NSW,2216,,,,,rockdale@parliament.nsw.gov.au,(02) 9597 1414,(02) 9567 0508,,,,,,,,,,,,,,,,,,
Fraser,Mr,M.P.,Mr Fraser,The Nationals,Coffs Harbour,,1/9 Park Avenue,,,COFFS HARBOUR,NSW,2450,,,,,coffsharbour@parliament.nsw.gov.au,(02) 6652 6500,(02) 6652 7934,,,,,,,,,,,,,,,,,,Assistant Speaker
Furolo,Mr,M.P.,Mr Furolo,Australian Labor Party,Lakemba,,Shop F081,Roselands Shopping Centre,Roselands Drive,ROSELANDS,NSW,2196,PO Box 5,ROSELANDS,NSW,2196,lakemba@parliament.nsw.gov.au,(02) 9759 5000,(02) 9759 1945,,,,,,,,,,,,,,,,,,
Gee,Mr,M.P. BEc(Hons) LLB,Mr Gee,The Nationals,Orange,,123 Byng Street,,,ORANGE,NSW,2800,,,,,orange@parliament.nsw.gov.au,(02) 6362 5199,(02) 6361 3922,,,,,,,,,,,,,,,,,,
George,The Hon.,M.P.,Mr George,The Nationals,Lismore,,55 Carrington Street,,,LISMORE,NSW,2480,PO Box 52,Lismore,NSW,2480,lismore@parliament.nsw.gov.au,(02) 6621 3624,(02) 6622 1403,,,,,,,,,,,,,,,,,,Deputy Speaker
Gibbons,Ms,M.P.,Ms Gibbons,Liberal Party,Menai,,60 Walder Road,,,HAMMONDVILLE,NSW,2170,,,,,menai@parliament.nsw.gov.au,(02) 9825 3653,(02) 9825 4861,,,,,,,,,,,,,,,,,,Acting Speaker
Goward,The Hon.,M.P.,Minister,Liberal Party,Goulburn,Minister for Family and Community Services; and Minister for Women,288 Bong Bong Street,,,BOWRAL,NSW,2576,,,,,goulburn@parliament.nsw.gov.au,(02) 4861 3623,(02) 4861 3546,,Level 34 Governor Macquarie Tower,1 Farrer Place,,SYDNEY,NSW,2000,,,,,office@goward.minister.nsw.gov.au,(02) 9228 5413,(02) 9228 5501,,,,
Grant,Mr,M.P.,Mr Grant,The Nationals,Dubbo,,Shop 1,18 Talbragar Street,,DUBBO,NSW,2830,,,,,dubbo@parliament.nsw.gov.au,(02) 6882 3577,(02) 6882 3689,,,,,,,,,,,,,,,,,,Parliamentary Secretary
Greenwich,Mr,M.P.,Mr Greenwich,Independent,Sydney,,58 Oxford Street,,,PADDINGTON,NSW,2021,,,,,sydney@parliament.nsw.gov.au,(02) 9360 3053,(02) 9331 6963,,,,,,,,,,,,,,,,,,
Gulaptis,Mr,M.P.,Mr Gulaptis,The Nationals,Clarence,,11 Prince Street,,,GRAFTON,NSW,2460,,,,,clarence@parliament.nsw.gov.au,(02) 6643 1244,(02) 6642 7574,,,,,,,,,,,,,,,,,,
Hancock,The Hon.,M.P. BA DipEd,Mrs Hancock,Liberal Party,South Coast,,1/57 Plunkett Street,,,NOWRA,NSW,2541,,,,,southcoast@parliament.nsw.gov.au,(02) 4421 0222,(02) 4422 1180,,Parliament of New South Wales,Macquarie Street,,SYDNEY,NSW,2000,,,,,speaker@parliament.nsw.gov.au,(02) 9230 2201,(02) 9230 2846,,,,Speaker
Hartcher,The Hon.,M.P.,Minister,Liberal Party,Terrigal,Minister for Resources and Energy; Special Minister of State; and Minister for the Central Coast,Shop 3 Fountain Plaza,148-158 The Entrance Road,,ERINA,NSW,2250,,,,,terrigal@parliament.nsw.gov.au,(02) 4365 1906,(02) 4365 4768,,Level 37 Governor Macquarie Tower,1 Farrer Place,,SYDNEY,NSW,2000,,,,,office@hartcher.minister.nsw.gov.au,(02) 9228 5289,(02) 9228 3448,,,,
Hay,Ms,M.P.,Ms Hay,Australian Labor Party,Wollongong,,Suite 2S Rear Ground Floor,111 Crown Street,,WOLLONGONG,NSW,2500,,,,,wollongong@parliament.nsw.gov.au,(02) 4226 5700,(02) 4226 9963,,,,,,,,,,,,,,,,,,
Hazzard,The Hon.,M.P. BA DipEd LLB(NSW) LLM(Syd),Minister,Liberal Party,Wakehurst,Minister for Planning and Infrastructure; and Minister Assisting the Premier on Infrastructure NSW; Leader of the House,Shop 3 637-641 Pittwater Road,,,DEE WHY,NSW,2099,P O Box 405,DEE WHY,NSW,2099,wakehurst@parliament.nsw.gov.au,(02) 9981 1111,(02) 9981 5059,,Level 31 Governor Macquarie Tower,1 Farrer Place,,SYDNEY,NSW,2000,,,,,office@hazzard.minister.nsw.gov.au,(02) 9228 5258,(02) 9228 5721,,,,
Hodgkinson,The Hon.,M.P.,Minister,The Nationals,Burrinjuck,Minister for Primary Industries; and Minister for Small Business,133 Comur Street,,,YASS,NSW,2582,,,,,burrinjuck@parliament.nsw.gov.au,(02) 6226 3311,(02) 6226 3345,,Level 30 Governor Macquarie Tower,1 Farrer Place,,SYDNEY,NSW,2000,,,,,office@hodgkinson.minister.nsw.gov.au ,(02) 9228 5210,(02) 9228 5969,,,,
Hoenig,Mr,M.P. DipLaw (SAB),Mr Hoenig,Australian Labor Party,Heffron,,Shop 117,747 Botany Road,,ROSEBERY,NSW,2018,,,,,heffron@parliament.nsw.gov.au,(02) 9699 8166,(02) 9699 8222,,,,,,,,,,,,,,,,,,
Holstein,Mr,M.P.,Mr Holstein,Liberal Party,Gosford,,20 Blackwall Road,,,WOY WOY,NSW,2256,,,,,gosford@parliament.nsw.gov.au,(02) 4342 4122,(02) 4341 2368,,,,,,,,,,,,,,,,,,
Hornery,Ms,M.P. JP BA(Hist)(Hons),Ms Hornery,Australian Labor Party,Wallsend,,Suite 3 30 Dan Rees Street,,,WALLSEND,NSW,2287,PO Box 324,WALLSEND,NSW,2287,wallsend@parliament.nsw.gov.au,(02) 4950 0955,(02) 4950 0977,,,,,,,,,,,,,,,,,,Acting Speaker
Humphries,The Hon.,M.P.,Minister,The Nationals,Barwon,Minister for Mental Health; Minister for Healthy Lifestyles; and Minister for Western New South Wales,Suites 2-6,161 Balo Street,,MOREE,NSW,2400,,,,,barwon@parliament.nsw.gov.au,(02) 6752 5002,(02) 6752 6102,,Level 33 Governor Macquarie Tower,1 Farrer Place,,SYDNEY,NSW,2000,,,,,office@humphries.minister.nsw.gov.au,(02) 9228 5248,(02) 9228 5882,,,,
Issa,Mr,M.P. OAM,Mr Issa,Liberal Party,Granville,,160 Merrylands Road,,,MERRYLANDS,NSW,2160,,,,,granville@parliament.nsw.gov.au,(02) 9637 1656,(02) 9897 1434,,,,,,,,,,,,,,,,,,
Kean,Mr,M.P. BBus GradDipCA,Mr Kean,Liberal Party,Hornsby,,Suite 5 The Madison,25-29 Hunter Street,,HORNSBY,NSW,2077,,,,,hornsby@parliament.nsw.gov.au,(02) 9476 3411,(02) 9476 2965,,,,,,,,,,,,,,,,,,
Lalich,Mr,M.P.,Mr Lalich,Australian Labor Party,Cabramatta,,Suite 10 Level 1,5 Arthur Street,,CABRAMATTA,NSW,2166,,,,,cabramatta@parliament.nsw.gov.au,(02) 9724 3381,(02) 9724 6056,,,,,,,,,,,,,,,,,,
Lee,Dr,M.P. BAppSc(Hort) MBA DBA,Dr Lee,Liberal Party,Parramatta,,90 George Street,,,PARRAMATTA,NSW,2150,,,,,parramatta@parliament.nsw.gov.au,(02) 9891 4722,(02) 9891 5618,,,,,,,,,,,,,,,,,,
Lynch,The Hon.,M.P.,Mr Lynch,Australian Labor Party,Liverpool,,100 Moore Street,,,LIVERPOOL,NSW,2170,,,,,ElectorateOffice.Liverpool@parliament.nsw.gov.au,(02) 9602 0040,(02) 9821 1807,,,,,,,,,,,,,,,,,,
Maguire,Mr,M.P.,Mr Maguire,Liberal Party,Wagga Wagga,,76 Morgan Street,,,WAGGA WAGGA,NSW,2650,,,,,waggawagga@parliament.nsw.gov.au,(02) 6921 1622,(02) 6921 4424,,,,,,,,,,,,,,,,,,Government Whip
McDonald,Dr,M.P. MBBS(Hons) FRACP FRCP(Glasg) FRCPCH,Dr McDonald,Australian Labor Party,Macquarie Fields,,Shop 18 Carnes Hill Marketplace,Corner Cowpasture & Kurrajong Roads,,HORNINGSEA PARK,NSW,2171,,,,,macquariefields@parliament.nsw.gov.au,(02) 9608 8991,(02) 9608 0606,,,,,,,,,,,,,,,,,,
Mihailuk,Ms,M.P. BEc LLB,Ms Mihailuk,Australian Labor Party,Bankstown,,Suite 1 3rd Floor,402-410 Chapel Road,,BANKSTOWN,NSW,2200,,,,,bankstown@parliament.nsw.gov.au,(02) 9708 3838,(02) 9708 3960,,,,,,,,,,,,,,,,,,
Notley-Smith,Mr,M.P.,Mr Notley-Smith,Liberal Party,Coogee,,80 Bronte Road,,,BONDI JUNCTION,NSW,2022,,,,,coogee@parliament.nsw.gov.au,(02) 9389 6669,(02) 9387 8845,,,,,,,,,,,,,,,,,,
O'Dea,Mr,M.P. BA LLM MBA,Mr O'Dea,Liberal Party,Davidson,,Suite 8A,12 Tryon Road,,LINDFIELD,NSW,2070,,,,,davidson@parliament.nsw.gov.au,(02) 9880 7400,(02) 9880 7488,,,,,,,,,,,,,,,,,,
O'Farrell,The Hon.,M.P.,Premier,Liberal Party,Ku-ring-gai,Premier; and Minister for Western Sydney,27 Redleaf Avenue,,,WAHROONGA,NSW,2076,,,,,kuringgai@parliament.nsw.gov.au,(02) 9487 8588,(02) 9487 8550,,Level 40 Governor Macquarie Tower,1 Farrer Place,,SYDNEY,NSW,2000,GPO Box 5341,SYDNEY,NSW,2001,office@premier.nsw.gov.au,9228 5239,9228 3935,,,,
Owen,Mr,M.P. AM MSS,Mr Owen,Liberal Party,Newcastle,,Ground Floor,414 Hunter Street,,NEWCASTLE,NSW,2300,PO Box 1816,Newcastle,NSW,2300,newcastle@parliament.nsw.gov.au,(02) 4926 1126,(02) 4926 2134,,,,,,,,,,,,,,,,,,
Page,The Hon.,M.P. BEc MEc DipRurAcctg,Minister,The Nationals,Ballina,Minister for Local Government; and Minister for the North Coast,Shop 1,7 Moon Street,,BALLINA,NSW,2478,PO Box 1018,BALLINA,NSW,2478,ballina@parliament.nsw.gov.au,(02) 6686 7522,(02) 6686 7470,,Level 33 Governor Macquarie Tower,1 Farrer Place,,SYDNEY,NSW,2000,,,,,office@page.minister.nsw.gov.au,(02) 9228 3403,(02) 9228 3442,,,,
Parker,Mr,M.P. BEcon MPolEc,Mr Parker,The Greens,Balmain,,112A Glebe Point Road,,,GLEBE,NSW,2037,,,,,balmain@parliament.nsw.gov.au,(02) 9660 7586,(02) 9660 6112,,,,,,,,,,,,,,,,,,
Parker,The Hon.,M.P.,Minister,Liberal Party,Maitland,Minister for the Environment; and Minister for Heritage,34 Church Street,,,MAITLAND,NSW,2320,PO Box 920,MAITLAND,NSW,2320,Robyn.Parker@parliament.nsw.gov.au,(02) 4933 1617,(02) 4933 4782,,Level 32 Governor Macquarie Tower,1 Farrer Place,,SYDNEY,NSW,2000,,,,,office@parker.minister.nsw.gov.au,(02) 9228 5253,(02) 9228 5763,,,,
Park,Mr,M.P. BEd (Hons) MEd,Mr Park,Australian Labor Party,Keira,,Shops 2 and 3,247 Princes Highway,,CORRIMAL,NSW,2518,,,,,keira@parliament.nsw.gov.au,(02) 4285 1588,(02) 4285 1858,,,,,,,,,,,,,,,,,,
Patterson,Mr,M.P.,Mr Patterson,Liberal Party,Camden,,66 John Street,,,CAMDEN,NSW,2570,,,,,camden@parliament.nsw.gov.au,(02) 4655 3333,(02) 4655 3325,,,,,,,,,,,,,,,,,,
Perrottet,Mr,M.P. LLB BCOM,Mr Perrottet,Liberal Party,Castle Hill,,287C Old Northern Road,,,CASTLE HILL,NSW,2154,,,,,castlehill@parliament.nsw.gov.au,(02) 9634 7474,(02) 9899 3340,,,,,,,,,,,,,,,,,,
Perry,The Hon.,M.P. BA LLB,Mrs Perry,Australian Labor Party,Auburn,,54-58 Amy Street,,,REGENTS PARK,NSW,2143,,,,,auburn@parliament.nsw.gov.au,(02) 9644 6972,(02) 9644 8290,,,,,,,,,,,,,,,,,,
Piccoli,The Hon.,M.P. BEc LLB,Minister,The Nationals,Murrumbidgee,Minister for Education,NSW Government Offices,104-110 Banna Avenue,,GRIFFITH,NSW,2680,,,,,murrumbidgee@parliament.nsw.gov.au,(02) 6962 6644,(02) 6962 7725,,Level 34 Governor Macquarie Tower,1 Farrer Place,,SYDNEY,NSW,2000,,,,,office@piccoli.minister.nsw.gov.au,(02) 9228 5261,(02) 9228 5492,,,,
Piper,Mr,M.P.,Mr Piper,Independent,Lake Macquarie,,92 Victory Parade,,,TORONTO,NSW,2283,,,,,lakemacquarie@parliament.nsw.gov.au,(02) 4959 3200,(02) 4950 4076,,,,,,,,,,,,,,,,,,
Provest,Mr,M.P. CCM FAIM AICD JP,Mr Provest,The Nationals,Tweed,,103 Minjungbal Drive,,,TWEED HEADS SOUTH,NSW,2486,,,,,tweed@parliament.nsw.gov.au,(07) 5523 4816,(07) 5523 4817,,,,,,,,,,,,,,,,,,Parliamentary Secretary
Rees,The Hon.,M.P.,Mr Rees,Australian Labor Party,Toongabbie,,166 Best Road,,,SEVEN HILLS,NSW,2147,,,,,toongabbie@parliament.nsw.gov.au,(02) 9831 8022,(02) 9831 8044,,,,,,,,,,,,,,,,,,
Robertson,Mr,M.P.,Mr Robertson,Australian Labor Party,Blacktown,,Shop 3063,Westpoint Shopping Centre,Flushcombe Road,BLACKTOWN,NSW,2148,,,,,blacktown@parliament.nsw.gov.au,(02) 9671 5222,(02) 9671 5266,,Parliament House,Macquarie Street,,SYDNEY,NSW,2000,,,,,leader.opposition@parliament.nsw.gov.au,(02) 9230 2310,(02) 9230 3355,,,,
Roberts,The Hon.,M.P. MA (Comms),Minister,Liberal Party,Lane Cove,Minister for Fair Trading,Level 3 Suite 302,230 Victoria Road,,GLADESVILLE,NSW,2111,,,,,lanecove@parliament.nsw.gov.au,(02) 9817 4757,(02) 9817 5885,,Level 36 Governor Macquarie Tower,1 Farrer Place,,SYDNEY,NSW,2000,,,,,office@roberts.minister.nsw.gov.au,(02) 9228 5276,(02) 9228 4236,,,,
Rohan,Mr,M.P. BSc(Geology) MSc(Petroleum Geology),Mr Rohan,Liberal Party,Smithfield,,2/679 The Horsley Drive,,,SMITHFIELD,NSW,2164,,,,,smithfield@parliament.nsw.gov.au,(02) 9756 4766,(02) 9756 1544,,,,,,,,,,,,,,,,,,
Rowell,Mr,M.P.,Mr Rowell,Liberal Party,Wollondilly,,Shop 1,117 Remembrance Drive,,TAHMOOR,NSW,2573,,,,,wollondilly@parliament.nsw.gov.au,(02) 4683 2622,(02) 4683 2595,,,,,,,,,,,,,,,,,,
Sage,Mrs,M.P. BDSc,Mrs Sage,Liberal Party,Blue Mountains,,132 Macquarie Road,,,SPRINGWOOD,NSW,2777,,,,,bluemountains@parliament.nsw.gov.au,(02) 4751 3298,(02) 4751 1245,,,,,,,,,,,,,,,,,,
Sidoti,Mr,M.P.,Mr Sidoti,Liberal Party,Drummoyne,,128 Great North Road,,,FIVE DOCK,NSW,2046,,,,,drummoyne@parliament.nsw.gov.au,(02) 9713 2999,(02) 9713 2911,,,,,,,,,,,,,,,,,,
Skinner,The Hon.,M.P.,Minister,Liberal Party,North Shore,Minister for Health; and Minister for Medical Research,Suite 3,40 Yeo Street,,NEUTRAL BAY,NSW,2089,,,,,northshore@parliament.nsw.gov.au,(02) 9909 2594,(02) 9909 2654,,Level 31 Governor Macquarie Tower,1 Farrer Place,,SYDNEY,NSW,2000,,,,,office@skinner.minister.nsw.gov.au,(02) 9228 5229,(02) 9228 5877,,,,
Smith,The Hon.,M.P. SC,Minister,Liberal Party,Epping,Attorney General; and Minister for Justice,Suite 303,Level 3 51 Rawson Street,,EPPING,NSW,2121,,,,,epping@parliament.nsw.gov.au,(02) 9877 0266,(02) 9877 0405,,Level 31 Governor Macquarie Tower,1 Farrer Place,,SYDNEY,NSW,2000,,,,,office@smith.minister.nsw.gov.au,(02) 9228 5246,(02) 9228 5874,,,,
Souris,The Hon.,M.P. BEc DipFMgt FAIM FCPA,Minister,The Nationals,Upper Hunter,Minister for Tourism Major Events Hospitality and Racing; and Minister for the Arts,20 Bridge Street,,,MUSWELLBROOK,NSW,2333,,,,,upperhunter@parliament.nsw.gov.au,(02) 6543 1065,(02) 6543 1416,,Level 30 Governor Macquarie Tower,1 Farrer Place,,SYDNEY,NSW,2000,,,,,office@souris.minister.nsw.gov.au,(02) 9228 5218,(02) 9228 5968,,,,
Speakman,Mr,M.P. SC,Mr Speakman,Liberal Party,Cronulla,,Shops 3 and 3A,347-357 Port Hacking Road South,,CARINGBAH,NSW,2229,,,,,cronulla@parliament.nsw.gov.au,(02) 9526 8377,(02) 9526 8928,,,,,,,,,,,,,,,,,,
Spence,Mr,M.P.,Mr Spence,Liberal Party,The Entrance,,24 The Entrance Road,,,THE ENTRANCE,NSW,2261,PO Box 401,The Entrance,NSW,2261,TheEntrance@parliament.nsw.gov.au,(02) 4334 1012,(02) 4334 3840,,,,,,,,,,,,,,,,,,
Stokes,Mr,M.P.,Mr Stokes,Liberal Party,Pittwater,,1725 Pittwater Road,,,MONA VALE,NSW,2103,,,,,pittwater@parliament.nsw.gov.au,(02) 9999 3599,(02) 9999 0922,,,,,,,,,,,,,,,,,,Parliamentary Secretary
